contact_id,name,phone,email,group_name,birth_month,preferred_language
59,김아름,062-682-2594,hyejingim@example.org,친구,6,일본어
60,이영희,032-554-9718,hanyeongsu@example.com,기타,6,영어
61,손지훈,016-869-5205,yjeong@example.net,직장,4,일본어
62,안준호,018-635-9613,shong@example.com,가족,8,일본어
63,박현우,018-541-5684,ogjagim@example.org,기타,9,영어
64,박은정,033-491-0489,yeongsug27@example.org,기타,10,일본어
65,서민서,062-927-8041,mgo@example.net,기타,2,영어
66,김승현,044-678-4966,ngim@example.net,기타,4,영어
67,김진우,064-734-1381,sujingim@example.com,친구,9,한국어
68,김민서,043-823-6649,hyun@example.net,친구,12,일본어
69,이혜진,061-645-3429,ujingim@example.org,가족,12,중국어
70,박지후,052-704-4566,ngu@example.org,가족,3,영어
71,김지영,062-527-8433,sangho76@example.net,기타,1,중국어
72,김정희,052-405-4915,bjo@example.org,가족,2,영어
73,박정훈,051-925-5506,seoyunmun@example.org,가족,7,한국어
74,이하윤,044-103-5040,minseoi@example.org,가족,3,한국어
75,김채원,061-579-1773,jiyeon49@example.org,친구,11,영어
76,이민석,033-895-5602,jieungang@example.net,친구,9,중국어
77,김재호,043-287-2648,coegyeongja@example.com,기타,9,일본어
78,이지은,052-954-5820,minji25@example.net,가족,10,영어
79,김민준,051-688-6417,ryueunseo@example.com,가족,12,중국어
80,김영식,053-412-5200,gimyeongsug@example.org,직장,7,영어
81,이상철,016-055-6323,jgim@example.org,가족,9,한국어
82,김정자,051-858-5149,sunog13@example.net,직장,5,영어
83,이주원,041-865-2977,gimbyeongceol@example.org,친구,12,일본어
84,최영진,053-023-2412,jeongsunbag@example.com,가족,6,영어
85,이지훈,02-7667-2133,yeongsigjin@example.com,직장,8,영어
86,황경숙,010-7001-6512,junyeonggim@example.net,기타,1,중국어
87,홍지훈,055-309-6369,kgim@example.net,친구,9,일본어
88,김지연,010-4561-1170,yujini@example.net,친구,6,한국어
89,김지아,042-547-8958,jeongnam81@example.org,친구,3,영어
90,송영호,02-5777-7078,minjae01@example.com,가족,7,영어
91,김영일,055-611-8974,yeongjingo@example.net,가족,6,한국어
92,윤성진,019-608-7335,eunjeonggim@example.org,기타,3,일본어
93,김경희,018-184-0425,seungmin48@example.org,기타,7,영어
94,서하윤,017-737-2844,jihyegang@example.net,가족,6,일본어
95,이은지,054-239-0716,seojun75@example.net,가족,4,중국어
96,이명숙,070-6253-9471,jeongsun83@example.net,가족,11,중국어
97,이하은,054-615-8654,pi@example.org,직장,5,중국어
98,김성민,062-308-1681,lgim@example.org,친구,4,일본어
99,김승민,033-687-4131,nasubin@example.net,친구,5,한국어
100,김민서,055-409-4357,myeongsuggim@example.net,가족,10,영어
101,윤미경,044-693-1412,jeongjagim@example.com,기타,3,영어
102,류은서,02-9400-0072,igim@example.org,기타,11,중국어
103,이현주,052-322-1840,seoyeon65@example.org,기타,1,한국어
104,오정웅,018-563-0642,jeongsui@example.com,친구,9,영어
105,김경희,062-185-8320,jbag@example.org,친구,1,일본어
106,박영순,062-424-5552,minjae09@example.com,기타,4,일본어
107,김은영,052-896-9013,jgim@example.org,친구,1,중국어
108,이정순,031-022-7156,dohyeongim@example.org,기타,11,한국어
109,이영미,02-8895-9814,yeonggil89@example.com,친구,12,일본어
110,장윤서,018-410-9729,jeongung85@example.org,직장,9,영어
111,오춘자,043-947-7904,eungyeong39@example.com,직장,12,한국어
112,하지원,010-0562-2272,junyeong40@example.org,친구,6,영어
113,나예은,051-991-2404,misug30@example.net,가족,8,일본어
114,성은경,064-751-7033,ugim@example.net,가족,10,중국어
115,오시우,061-494-2929,muneunju@example.net,친구,1,중국어
116,김성진,017-977-1201,ggim@example.com,친구,12,영어
117,김순옥,062-954-9433,yejii@example.net,가족,2,영어
118,김성진,052-038-4130,jeongsugyun@example.net,친구,4,일본어
119,장윤서,019-140-8135,ogyeongsug@example.com,직장,1,중국어
120,최은주,011-939-3605,simjeongnam@example.net,친구,12,한국어
