detail_id,contact_id,address,birthday,company
81,81,서울특별시 북구 서초대2가 863,1974-06-10,주식회사 고김김
82,82,대전광역시 송파구 석촌호수가 799 (재호백면),1949-09-18,배김김
83,83,경기도 파주시 논현7로 904,1978-08-19,유한회사 권김강
84,84,경상북도 고양시 일산서구 반포대8가 289 (혜진박면),2003-10-21,강윤박
85,85,울산광역시 양천구 도산대가 240 (옥순김서면),1956-04-05,(유) 오이박
86,86,울산광역시 서구 선릉63로 600-48 (수빈김하면),1995-09-22,주식회사 임
87,87,전라북도 화천군 개포가 965-48,1953-11-22,유한회사 이김신
88,88,대구광역시 성북구 강남대72가 565 (상훈박리),1978-06-05,유한회사 양
89,89,경기도 청주시 서원구 논현457가 258,1982-05-10,주식회사 김김박
90,90,제주특별자치도 인제군 논현가 70-94,1964-01-30,이김
91,91,서울특별시 중랑구 오금64거리 508,1976-05-20,(유) 양
92,92,세종특별자치시 양천구 영동대가 483-83,1951-02-25,최황김
93,93,대구광역시 광진구 양재천99로 627,2004-08-17,(유) 최송박
94,94,전라북도 화성시 양재천18거리 291-58,2000-08-27,황이김
95,95,광주광역시 서구 가락길 128 (영희김마을),1993-06-05,박장전
96,96,광주광역시 용산구 석촌호수2길 625-55,1978-07-02,최김한
97,97,전라북도 성남시 중원구 잠실거리 400 (정순배박읍),1978-01-21,(주) 이이김
98,98,전라북도 철원군 개포269길 607 (수민허읍),1954-07-14,우박김
99,99,울산광역시 중랑구 잠실길 70,1978-05-01,(주) 이김황
100,100,경기도 원주시 압구정가 172-51 (지현심송읍),1984-07-25,문우
101,101,서울특별시 중구 언주94가 744 (은지백김마을),1944-12-14,지고
102,102,울산광역시 성동구 강남대거리 434 (승현이김리),1968-03-30,주식회사 이
103,103,충청남도 횡성군 석촌호수550길 668-59,1972-06-02,한최황
104,104,전라북도 천안시 동남구 양재천로 지하453,1976-03-02,최오박
105,105,강원도 속초시 반포대93거리 631 (영자양면),1957-01-11,장박김
106,106,경기도 포천시 학동로 681,1953-03-28,주식회사 이
107,107,울산광역시 관악구 서초중앙10길 331 (지현황이동),1982-09-28,유한회사 이김김
108,108,부산광역시 도봉구 영동대845거리 지하894 (예준장마을),1968-02-17,장김
109,109,경상남도 성남시 양재천가 지하19,1981-09-17,박류
110,110,대구광역시 중구 석촌호수길 191 (보람차이읍),1976-08-15,주식회사 박박김
111,111,세종특별자치시 송파구 역삼로 882-93,1996-09-03,(유) 김
112,112,광주광역시 중구 언주23로 163-29,1957-09-17,권박
113,113,서울특별시 동작구 서초중앙로 986,1992-01-30,김이
114,114,전라북도 논산시 석촌호수로 108-20 (준혁최고면),1979-01-21,김심이
115,115,충청북도 군포시 오금가 235 (선영서읍),1965-07-10,(주) 김심송
116,116,전라남도 음성군 논현로 773 (준혁이남동),1986-05-15,(유) 윤
117,117,울산광역시 북구 봉은사353길 551-50,1946-12-21,(주) 류김강
118,118,경기도 부천시 원미구 가락거리 905-53,1968-07-26,이이
119,119,세종특별자치시 성동구 양재천가 588-12,1959-06-14,(주) 이
120,120,충청남도 홍천군 선릉길 973,1979-02-17,강허
