profile_id,user_id,nickname,email,age,gender,location,job,height,education,religion,smoking,bio,search_radius,profile_image_url,view_count,estimated_duration
28,28,영식,gimhyeonjeong@example.com,34,남성,안양시 동안구,공업 배관공,175,대졸,불교,비흡연자,"Quos quod itaque inventore perferendis aperiam.
Quam sit qui a similique atque impedit quam. Impedit nemo totam.","[15, 40, 40, 15, 30]",https://example.com/profile_28.jpg,9258,50
29,29,민준,jangjeongsug@example.com,40,여성,홍천군,음향 및 녹음 기사,167,대졸,천주교,흡연자,Ratione expedita atque amet veritatis assumenda. Quaerat odit atque nemo. Debitis repellat doloribus.,"[40, 10, 40, 40, 10, 20]",https://example.com/profile_29.jpg,1006,200
30,30,영희,dohyeoni@example.org,30,여성,성남시 분당구,예능 강사,153,고졸,기타,흡연자,Ratione quasi officia consequatur eos perspiciatis officia earum. Dignissimos harum debitis laudantium deleniti.,"[15, 30, 20, 40, 20, 20]",https://example.com/profile_30.jpg,2788,161
31,31,정숙,hyejin83@example.com,32,남성,예산군,기타 이미용/예식 및 의료보조 서비스 종사원,167,대졸,기독교,비흡연자,Quia ipsa dolorem modi eius voluptatibus. Autem sequi odit est ratione architecto sunt. Impedit molestias omnis.,[30],https://example.com/profile_31.jpg,955,194
32,32,명숙,cunja99@example.com,32,남성,횡성군,제조관련 단순 종사원,189,고졸,기독교,비흡연자,Repellat eius dolor hic libero. Iure maiores maiores est in. Quaerat dicta debitis nihil explicabo.,"[5, 15, 10, 20, 5, 20]",https://example.com/profile_32.jpg,4524,30
33,33,재현,jiyeon79@example.org,27,남성,서천군,화물열차 차장 및 관련 종사원,154,고졸,천주교,비흡연자,Dolores non magnam atque. Laboriosam excepturi tempore. Ullam non magni ipsum facere mollitia.,"[15, 40, 5]",https://example.com/profile_33.jpg,781,293
34,34,정호,hayungim@example.org,35,남성,옥천군,제화원,165,대학원졸,천주교,비흡연자,Illo nam ut sunt quos ea nihil. Amet aperiam accusamus tenetur enim deserunt soluta.,"[15, 20, 5, 40, 10]",https://example.com/profile_34.jpg,3276,243
35,35,성호,yeeuni@example.org,28,남성,수원시,상품중개인 및 경매사,160,고졸,천주교,흡연자,Sint esse neque magnam. Saepe dolorum aspernatur quaerat eligendi consectetur inventore.,"[10, 30, 20]",https://example.com/profile_35.jpg,5079,81
36,36,민준,seongjin37@example.net,31,여성,수원시 팔달구,음식서비스관련 관리자,172,대학원졸,무교,비흡연자,Necessitatibus error et repellendus eligendi ut vero. Alias ducimus sequi quibusdam occaecati eligendi vitae.,"[30, 20, 20, 15]",https://example.com/profile_36.jpg,9114,246
37,37,예지,jiabag@example.net,36,남성,평창군,관세사,156,대학원졸,천주교,비흡연자,Est repellat facilis rem. Consequuntur labore expedita fugiat earum ipsum. Rerum sequi quibusdam iure.,"[10, 15, 30, 40, 5]",https://example.com/profile_37.jpg,1657,137
38,38,영숙,subin83@example.org,26,여성,수원시 장안구,기계공학 기술자 및 연구원,179,대학원졸,기독교,비흡연자,Iste harum vel quibusdam ratione. Voluptatibus rem nisi harum. Commodi alias dolores distinctio quae aperiam itaque voluptatum.,"[20, 20, 10, 10]",https://example.com/profile_38.jpg,2387,253
39,39,정식,junho03@example.com,20,남성,제천시,판금기 조작원,186,대졸,천주교,비흡연자,Nulla quis ullam iusto nesciunt. Maxime eius consectetur quisquam dolores reprehenderit et. Accusantium cum id distinctio qui.,"[20, 40]",https://example.com/profile_39.jpg,8261,236
40,40,서준,myeongja32@example.com,28,여성,원주시,철도 및 전동차 기관사,171,고졸,불교,비흡연자,Delectus culpa occaecati repellendus incidunt culpa. Animi laborum laboriosam hic doloremque corrupti.,"[30, 5]",https://example.com/profile_40.jpg,8543,266
41,41,성진,boramheo@example.com,40,남성,연천군,판금원,184,대졸,무교,비흡연자,Aliquid quia numquam explicabo. Mollitia incidunt voluptatum accusantium. Vitae quaerat rem in.,"[20, 5, 10, 5, 40, 40]",https://example.com/profile_41.jpg,6903,132
42,42,영진,cgim@example.com,30,여성,천안시 서북구,큐레이터 및 문화재 보존원,150,고졸,기타,흡연자,Veniam quasi libero delectus in quam illum. Asperiores magni necessitatibus eligendi commodi maxime tempora.,"[30, 10, 10, 40]",https://example.com/profile_42.jpg,7969,136
43,43,도현,hyejinbag@example.org,32,여성,안산시 단원구,기타 주방장 및 조리사,155,대학원졸,기타,흡연자,Eligendi modi et nostrum laboriosam. Cumque non id quaerat quibusdam praesentium.,"[20, 10]",https://example.com/profile_43.jpg,4176,236
44,44,미영,jungsu71@example.com,34,여성,영월군,수금원,165,대학원졸,천주교,비흡연자,Repellendus delectus quis dolorum. Doloribus dolorem veritatis tenetur incidunt a. Culpa nam sed repellat esse sint illo.,"[10, 5, 40]",https://example.com/profile_44.jpg,5594,123
45,45,미경,seunghyeongim@example.org,25,남성,평창군,제관원,158,대졸,천주교,비흡연자,Vero dicta mollitia sunt iusto quo maxime. Quod nisi minus animi.,[20],https://example.com/profile_45.jpg,2899,117
46,46,진우,jiyeon41@example.org,27,여성,괴산군,경찰관,188,고졸,무교,비흡연자,Illo quas ad. Accusantium consectetur ab possimus libero possimus. Neque dolorum maiores iste vel dolorem nesciunt.,"[5, 30]",https://example.com/profile_46.jpg,3279,153
47,47,상철,gimmyeongsug@example.net,39,남성,속초시,기타 이미용/예식 및 의료보조 서비스 종사원,152,대졸,천주교,비흡연자,Nesciunt odio nisi neque nihil soluta. Doloribus officiis facere natus. Iste id consequatur eos neque perspiciatis.,"[15, 20, 5, 10, 30]",https://example.com/profile_47.jpg,9072,297
48,48,순옥,jangareum@example.com,34,남성,속초시,상/하수도 처리장치 조작원,150,고졸,기타,흡연자,"Illum quo sunt aspernatur. Dignissimos esse eius aliquid. Earum maxime temporibus eos saepe.
Omnis optio tempore tempora. Harum molestiae nam.","[40, 20, 15, 30]",https://example.com/profile_48.jpg,8204,259
49,49,서연,wi@example.net,22,여성,평창군,텔레마케터,153,대졸,기독교,비흡연자,Impedit iusto quidem esse eos. Ullam numquam exercitationem ipsam sit tenetur veritatis.,"[15, 30, 15, 15, 15]",https://example.com/profile_49.jpg,9283,125
50,50,지혜,wi@example.com,34,남성,고양시 일산동구,건축 도장공,181,대학원졸,기타,비흡연자,Possimus ea vitae. Possimus libero id molestiae. Magni qui repellendus blanditiis repellat possimus maxime.,[20],https://example.com/profile_50.jpg,6641,68
51,51,우진,yujingim@example.com,39,여성,김포시,철로 설치 및 보수원,158,고졸,불교,흡연자,Cupiditate tenetur magnam. Libero tempora dolorem voluptates cumque voluptatem tenetur dignissimos. Accusantium debitis animi odio officiis.,"[5, 10]",https://example.com/profile_51.jpg,730,63
52,52,지후,yeonggil61@example.net,33,여성,가평군,선박 및 열차 객실승무원,189,대졸,천주교,비흡연자,"Iste cumque necessitatibus placeat.
Nemo dignissimos autem illum dignissimos repellendus. Eos nemo neque impedit nisi. Vero blanditiis commodi.","[5, 40, 40, 10, 15]",https://example.com/profile_52.jpg,9526,246
53,53,영희,gimogja@example.net,39,남성,금산군,손해사정인,190,고졸,기타,흡연자,Id perspiciatis adipisci esse laboriosam provident doloremque.,[5],https://example.com/profile_53.jpg,4564,230
54,54,진호,gyeongsuan@example.net,32,남성,고양시 덕양구,사회복지관련 관리자,186,고졸,천주교,흡연자,Eaque placeat ad aperiam unde reiciendis vitae. Unde odit soluta tempore ad.,"[5, 20, 10, 5, 20]",https://example.com/profile_54.jpg,569,163
55,55,정희,minseo50@example.org,27,남성,남양주시,세탁원 및 다림질원,181,대졸,기타,흡연자,Eveniet similique in quo sint enim. Corrupti sint nobis eaque voluptate nulla.,"[30, 40]",https://example.com/profile_55.jpg,2336,251
56,56,지민,ujo@example.com,20,남성,진천군,이용사,150,고졸,무교,비흡연자,Aut voluptate error dignissimos ipsum atque. Quos id ipsa ducimus error quisquam nemo. Distinctio alias accusamus nostrum recusandae.,"[30, 15, 5, 40, 40]",https://example.com/profile_56.jpg,6267,252
57,57,동현,songyeonghyi@example.net,32,여성,안산시 상록구,예능 강사,167,대학원졸,불교,비흡연자,Consequatur eius earum nobis ea autem. Molestiae labore quo incidunt in eius.,"[40, 5, 20, 5, 5]",https://example.com/profile_57.jpg,7563,213
58,58,중수,seoyeong98@example.net,33,남성,용인시 수지구,철도 및 전동차 기관사,175,고졸,불교,비흡연자,Consequatur quia at deleniti impedit quia harum. Non accusamus ad atque. Consequuntur dolorem corporis.,"[5, 40, 40]",https://example.com/profile_58.jpg,885,256
59,59,정남,lyun@example.org,29,남성,안양시 동안구,관세사,160,대졸,기타,비흡연자,Sequi adipisci non aliquam libero. Aliquid voluptatem quidem deleniti dicta incidunt.,"[20, 10]",https://example.com/profile_59.jpg,698,107
60,60,정희,hyeonjigim@example.com,21,여성,괴산군,컴퓨터 하드웨어 기술자 및 연구원,176,대졸,천주교,비흡연자,Voluptate soluta occaecati maiores error explicabo similique corporis.,"[15, 10, 15, 5, 30, 40]",https://example.com/profile_60.jpg,3909,266
61,61,아름,seonghunbag@example.net,21,여성,양구군,보조 교사 및 기타 교사,189,대학원졸,천주교,흡연자,Explicabo ratione rem dignissimos dolor. Rerum eius magni aut perferendis.,"[5, 15]",https://example.com/profile_61.jpg,9656,237
62,62,현주,seongmini@example.com,20,남성,고성군,문리 및 어학 강사,172,대학원졸,무교,흡연자,Reprehenderit aliquid reiciendis. Commodi voluptas pariatur voluptatum.,[20],https://example.com/profile_62.jpg,9982,220
63,63,지영,hyejin25@example.org,29,여성,남양주시,출판물 전문가,175,대학원졸,무교,흡연자,Quae similique voluptatum natus voluptas natus quibusdam perspiciatis. Non mollitia placeat architecto quaerat amet. Eveniet eos laboriosam libero.,"[40, 5, 10, 20, 5, 20]",https://example.com/profile_63.jpg,628,299
64,64,도윤,jeonghungim@example.com,37,남성,청양군,기타 전기/전자기기 설치 및 수리원,167,대졸,무교,흡연자,Culpa beatae mollitia iste expedita dolores. Distinctio ducimus voluptatibus. Adipisci vero alias consequatur error.,"[10, 40]",https://example.com/profile_64.jpg,262,269
65,65,춘자,eunji75@example.net,25,여성,증평군,양식 주방장 및 조리사,181,대졸,기독교,비흡연자,Quia quibusdam eligendi. Dolorem similique nostrum molestiae fugiat molestias.,"[20, 40, 40, 5, 5]",https://example.com/profile_65.jpg,3505,33
66,66,예원,bagseungmin@example.net,28,남성,음성군,조림/영림 및 벌목원,162,대졸,무교,흡연자,Excepturi cum veniam rem totam sint quibusdam corrupti. Asperiores voluptatibus impedit vitae iure. Nostrum similique reiciendis ipsam vel.,"[40, 5, 20, 20, 20, 40]",https://example.com/profile_66.jpg,3203,227
67,67,영순,gimseoyeon@example.org,29,남성,청주시 서원구,대학 교수,159,대졸,천주교,비흡연자,Doloribus animi praesentium assumenda. Cum omnis impedit. Et iusto culpa harum.,"[5, 5, 5]",https://example.com/profile_67.jpg,3533,34
68,68,영식,yujingim@example.com,31,여성,안양시 만안구,기타 금융 및 보험 관련 전문가,168,고졸,무교,흡연자,Qui excepturi cum incidunt neque.,"[10, 5]",https://example.com/profile_68.jpg,6415,82
69,69,하은,myeongja35@example.com,30,여성,괴산군,변리사,172,대졸,기타,흡연자,Pariatur quam soluta consequatur odio culpa. Ab labore ab reprehenderit nemo labore maiores. Mollitia ea eaque soluta illo.,"[5, 30, 30, 10]",https://example.com/profile_69.jpg,2105,174
70,70,영수,mi@example.com,26,남성,음성군,건설 배관공,184,고졸,천주교,비흡연자,"Excepturi tempore fuga officiis. Dicta odio nihil ea.
Perspiciatis quae velit consectetur mollitia ipsum possimus sunt.","[30, 10]",https://example.com/profile_70.jpg,5672,268
71,71,옥자,jeongnamim@example.com,30,남성,괴산군,성직자,169,대졸,기타,비흡연자,"Magni reprehenderit earum dolores ut dolores. Tenetur quas enim necessitatibus. Est necessitatibus natus ad.
Assumenda maxime iste modi.","[10, 40, 20, 30, 20, 5]",https://example.com/profile_71.jpg,6422,170
72,72,예준,dhwang@example.com,35,여성,안산시 상록구,가사 도우미,150,대졸,천주교,비흡연자,Doloribus quam eos sit quae enim vel reprehenderit. Pariatur ratione placeat ut natus vitae nesciunt. Molestiae nostrum eveniet a enim vitae.,[15],https://example.com/profile_72.jpg,3861,240
73,73,경자,ei@example.org,20,여성,청주시 서원구,출판물 전문가,183,고졸,기타,비흡연자,Cupiditate temporibus veniam. Expedita laborum tempora. Quasi fuga animi praesentium.,"[10, 10, 20, 30]",https://example.com/profile_73.jpg,4989,246
74,74,진호,ugim@example.com,23,여성,고성군,신발제조기 조작원 및 조립원,181,대졸,천주교,비흡연자,"Aut tenetur commodi. Non repellat natus magni esse. Error velit modi nisi accusamus.
Itaque nulla molestiae possimus. Quod dicta nisi incidunt.","[30, 20]",https://example.com/profile_74.jpg,2481,161
75,75,영환,gimyeongsu@example.org,37,남성,여주시,가스/에너지 기술자 및 연구원,174,대졸,기타,흡연자,Quia numquam alias illo saepe accusantium reiciendis. Quos accusamus adipisci vel. Similique ipsam cum ipsum aspernatur possimus.,"[20, 10, 5]",https://example.com/profile_75.jpg,669,286
76,76,현준,lbae@example.com,23,남성,논산시,의복/가죽 및 모피 수선원,190,대졸,기타,흡연자,"Numquam odit sint pariatur tempora ratione. Totam similique quod aspernatur.
Reiciendis atque nobis sint esse possimus.","[15, 30, 10, 30, 15, 30]",https://example.com/profile_76.jpg,1679,117
77,77,정희,iseongmin@example.org,34,남성,성남시,화학공학 시험원,177,고졸,기독교,흡연자,Iure voluptatum autem. Fuga qui ad adipisci sed cum corrupti. Dolores reprehenderit voluptatem in reprehenderit.,"[40, 30, 40, 5, 15, 10]",https://example.com/profile_77.jpg,3009,34
78,78,성훈,gimyeonggil@example.net,39,남성,구리시,판금원,163,대졸,기타,비흡연자,Neque id maiores nulla esse. Sapiente assumenda iste cumque rerum.,"[15, 15, 5, 30]",https://example.com/profile_78.jpg,8306,261
79,79,승현,yeongsugjang@example.net,23,남성,진천군,건축 도장공,170,고졸,천주교,흡연자,Dolor error iure. Fuga officia iusto officiis minima adipisci dolorem. Consectetur magni ea suscipit harum pariatur.,"[5, 15]",https://example.com/profile_79.jpg,6271,59
80,80,재호,vi@example.net,22,여성,고양시,방사선사,180,대학원졸,무교,흡연자,Nemo illo soluta nesciunt explicabo officia aut. Nihil dolor fugit explicabo.,"[15, 30]",https://example.com/profile_80.jpg,2922,124
81,81,재현,gimhayun@example.com,23,여성,진천군,기타 배달원,169,대졸,무교,흡연자,Distinctio omnis eum ut. Voluptatem eum eius ducimus veritatis sint. Corporis qui dolor doloribus.,"[10, 40, 20, 10]",https://example.com/profile_81.jpg,1018,198
82,82,지은,jiu05@example.net,36,남성,공주시,제조관련 단순 종사원,190,대졸,천주교,흡연자,Tempora sit optio ipsum accusamus dolorem. Corrupti accusantium dolore id alias blanditiis assumenda. Ex eum architecto beatae.,"[5, 40, 30]",https://example.com/profile_82.jpg,5758,168
83,83,정훈,agim@example.org,22,남성,수원시 장안구,항공기 조종사,171,대졸,기독교,흡연자,Deleniti earum amet incidunt ea ratione corrupti. Modi ab cumque sapiente in.,[15],https://example.com/profile_83.jpg,1704,157
84,84,지혜,minji87@example.com,31,남성,태백시,단열공,163,대학원졸,불교,흡연자,Hic maxime recusandae ex perspiciatis. Nobis illum deleniti soluta vel pariatur.,"[10, 10]",https://example.com/profile_84.jpg,2048,214
85,85,영자,jbag@example.org,24,남성,광명시,용접기 조작원,158,대졸,기타,흡연자,Deleniti enim enim deleniti amet ab. Fuga illo iure mollitia. Delectus neque vel quae eligendi.,[15],https://example.com/profile_85.jpg,6934,237
86,86,진호,yujini@example.com,39,남성,군포시,자동차 부분품 조립원,154,대졸,무교,흡연자,Consequuntur consequatur minima tempora itaque magni. Temporibus enim omnis quam occaecati ea repellat corrupti.,"[40, 5, 15, 10]",https://example.com/profile_86.jpg,1576,35
87,87,미숙,seoyun39@example.org,26,남성,수원시 권선구,특수교육 교사,183,대졸,천주교,비흡연자,Fuga excepturi excepturi similique tenetur neque quia.,[30],https://example.com/profile_87.jpg,9789,196
88,88,수진,seongminmun@example.org,33,남성,성남시 분당구,검표원,174,대졸,기타,흡연자,Architecto beatae hic officia dolore. Laborum magnam vitae commodi. Voluptatem repudiandae nam consequatur nobis.,"[15, 40]",https://example.com/profile_88.jpg,3582,11
89,89,정웅,gyeongsug11@example.org,29,남성,서천군,마술사 및 기타 문화/ 예술 관련 종사자,157,대학원졸,무교,비흡연자,Cupiditate quas eos mollitia accusamus explicabo id. Praesentium atque quos fuga iure repudiandae rem tempore.,[20],https://example.com/profile_89.jpg,2707,125
90,90,윤서,yunseogim@example.org,24,남성,부여군,건축 목공,162,고졸,기독교,흡연자,Eius incidunt doloribus non explicabo corrupti deleniti. Sed reiciendis consectetur voluptates. Vel sed asperiores libero odio expedita similique.,[5],https://example.com/profile_90.jpg,9797,250
91,91,수진,seoyeong01@example.org,23,여성,속초시,광석 및 석제품 가공기 조작원,159,대학원졸,기타,흡연자,Aperiam culpa dolorem aspernatur. Eligendi amet inventore. Voluptatum voluptates repudiandae numquam incidunt.,"[40, 5, 5]",https://example.com/profile_91.jpg,8530,52
92,92,준서,gimgwangsu@example.net,26,여성,청주시 흥덕구,결혼 상담원 및 웨딩플래너,189,대졸,불교,흡연자,Sit deserunt dolorem numquam voluptas. Sed dicta corporis praesentium ipsam recusandae repellat rem. Aspernatur amet laudantium molestiae.,"[20, 15, 20, 15, 30]",https://example.com/profile_92.jpg,567,31
93,93,미영,yeonghyi41@example.com,36,남성,평창군,기타 공학관련 기술자 및 시험원,157,대학원졸,무교,비흡연자,Doloribus neque culpa odio id. Itaque unde est optio. Sequi at facilis aperiam occaecati aut facilis.,"[10, 30, 5, 20, 30, 40]",https://example.com/profile_93.jpg,4161,173
94,94,춘자,yunjiweon@example.net,27,남성,보령시,생산 및 품질 관리 사무원,186,고졸,무교,비흡연자,Atque ipsam libero omnis nesciunt. Occaecati consectetur aliquid quisquam soluta.,"[40, 15, 20, 30, 30, 30]",https://example.com/profile_94.jpg,6924,224
95,95,수빈,jieun57@example.org,40,여성,속초시,도장기 조작원,155,대졸,불교,비흡연자,"Autem alias unde et id suscipit. Beatae dolorem tenetur.
Quasi blanditiis vel ea porro sit. Iure possimus sunt officiis.",[40],https://example.com/profile_95.jpg,4245,244
96,96,경수,seongsugim@example.net,23,여성,진천군,문리 및 어학 강사,185,대학원졸,기독교,비흡연자,Est sapiente corporis amet. Quis nisi quam consectetur dolore. Incidunt cum expedita ea dolore.,"[40, 40, 15]",https://example.com/profile_96.jpg,8742,83
97,97,현정,jangjeonghyi@example.net,40,남성,홍성군,통역가,189,대졸,천주교,비흡연자,Aspernatur commodi sapiente magni voluptatibus. Assumenda deleniti vitae placeat hic quaerat sequi. Accusamus debitis corrupti sapiente hic.,"[40, 20, 10, 5, 40, 30]",https://example.com/profile_97.jpg,9199,268
98,98,재현,jiyeonbaeg@example.net,37,남성,진천군,환경공학 시험원,163,대학원졸,기독교,비흡연자,Ipsam optio dolor ipsam quasi. Rem nemo a odit. Qui tempora non ad maxime doloribus. Consequuntur aspernatur unde dolorum.,"[20, 10]",https://example.com/profile_98.jpg,1686,31
99,99,윤서,jihyegang@example.org,26,남성,용인시 처인구,귀금속 및 보석 세공원,159,대졸,기타,흡연자,Blanditiis nostrum ipsam quisquam quam. Tempore ratione eos at.,[5],https://example.com/profile_99.jpg,7525,183
100,100,영일,hayun00@example.org,33,남성,부여군,자동차 정비원,187,고졸,기독교,비흡연자,Quas similique quibusdam sunt aut aliquam. Modi commodi nostrum vitae fugit ducimus voluptatem.,[20],https://example.com/profile_100.jpg,7788,217
101,101,선영,zgim@example.com,31,남성,동해시,이용사,162,대학원졸,기독교,흡연자,Dicta fuga maxime delectus tempore aliquam. Nemo inventore quos facilis.,"[30, 5, 5]",https://example.com/profile_101.jpg,2690,229
102,102,수빈,hongjaehyeon@example.com,39,여성,안양시 동안구,냉동/냉장 /공조기 설치 및 정비원,164,고졸,기독교,흡연자,Est velit reiciendis. Quidem recusandae impedit molestiae nemo atque aliquid non.,"[20, 20, 5]",https://example.com/profile_102.jpg,5454,193
103,103,춘자,qhwang@example.org,36,남성,부여군,영상/녹화 및 편집 기사,187,대졸,기타,비흡연자,"Sed rem deserunt. Aliquam quas expedita harum.
Enim ut qui adipisci. Quis similique fugit alias sunt maxime assumenda.","[30, 15]",https://example.com/profile_103.jpg,246,66
