player_id,username,email,nickname,level,wins,losses,created_at,total_games
82,nahyeonjeong,hyeonsug40@example.com,영자,23,265,386,2025-02-28,299
83,yeongsui,sangho95@example.org,지민,56,6,377,2023-12-14,331
84,xbag,vjang@example.com,선영,59,468,425,2024-10-24,25
85,hyeonjeongi,janggyeonghyi@example.net,명자,48,204,475,2023-08-24,601
86,minjunhyeog,gimjunyeong@example.net,도현,87,306,132,2025-04-02,970
87,agim,yujinryu@example.net,아름,23,259,171,2024-04-25,487
88,seomyeongja,egim@example.net,주원,26,362,431,2023-08-31,273
89,gangjiweon,hi@example.net,영순,2,311,298,2023-11-11,514
90,geonucoe,jeonghun79@example.org,성호,55,220,314,2024-02-15,56
91,ojo,ji@example.net,현정,9,31,84,2023-06-24,59
92,seongsu02,vi@example.org,지연,28,460,303,2024-05-19,589
93,gimjaehyeon,nheo@example.com,준서,63,38,184,2023-10-03,26
94,sumin58,hyeonjeong55@example.net,미영,59,412,60,2024-07-25,324
95,xsim,yno@example.org,상철,3,94,316,2023-11-09,169
96,hanseoyeong,yeweongim@example.org,현우,92,397,221,2023-10-20,927
97,tgim,jeongja81@example.com,영미,78,491,362,2023-12-28,876
98,wi,hyeonjeong21@example.com,정웅,46,404,353,2024-07-29,713
99,gimjihu,sseong@example.net,정식,6,285,326,2024-03-25,886
100,sunoggo,yeonggil16@example.net,성호,39,44,46,2024-09-19,886
101,nammijeong,bagjiweon@example.net,정수,83,391,364,2025-03-03,540
102,jongsu49,seongsu85@example.com,영호,14,246,190,2024-03-19,635
103,nameunju,thong@example.org,미영,57,324,164,2024-05-25,812
104,siu41,jeongjagang@example.com,유진,69,306,183,2024-10-28,630
105,ogjabae,yeongmigim@example.com,보람,41,149,304,2023-10-26,549
106,iminseo,jimingim@example.com,준혁,23,132,344,2024-05-28,739
107,gimyejun,migyeong12@example.org,동현,81,135,303,2024-12-19,43
108,jiu78,isugja@example.org,승현,63,453,298,2024-01-25,676
109,jihyeon62,boram37@example.com,상호,47,307,114,2023-10-09,830
110,dgim,yeongsigbag@example.net,정훈,36,267,322,2023-09-15,167
111,mbag,cgim@example.net,은지,47,189,133,2024-03-15,593
112,jeongja25,migyeongbag@example.com,경수,46,169,347,2024-08-22,937
113,seonghyeon23,jaeho43@example.net,경자,39,149,170,2023-10-28,541
114,ujin28,boram58@example.org,주원,42,76,216,2025-03-08,811
115,bson,songjieun@example.org,순자,85,374,467,2024-08-07,423
116,zcoe,cjin@example.com,예지,6,313,42,2024-12-22,700
117,yeongjai,yujeongsun@example.com,진호,62,486,227,2025-05-03,812
118,yunjeongsig,donghyeono@example.org,미정,69,189,127,2024-08-15,56
119,jbag,igang@example.net,지후,76,374,33,2024-09-20,605
120,gimjinu,songjeongsig@example.com,재호,50,453,333,2024-07-02,889
121,seungmingim,dohyeon07@example.org,승민,68,274,453,2024-12-24,96
122,yunseo53,jiyeongi@example.com,정자,94,392,307,2024-02-05,76
123,jieun38,gimsanghun@example.com,현주,93,353,40,2023-07-03,117
124,dohyeon93,gwangsuyun@example.com,경자,37,479,420,2024-06-10,346
125,sjo,imjiyeong@example.com,민지,99,413,250,2025-06-01,600
126,jihu74,caeweon04@example.net,현우,4,416,38,2024-12-23,791
127,seoyunsong,yeonghwan20@example.net,아름,50,441,197,2023-06-10,668
128,hanseonghun,cgim@example.org,채원,74,120,155,2024-05-21,167
129,ihyeonjun,misug54@example.com,현정,31,132,290,2023-07-11,313
130,kyun,bagjeongja@example.net,은정,83,121,374,2024-08-23,984
131,yeonghwansong,eunju86@example.com,현준,16,70,71,2023-08-22,196
132,qyang,yeweon68@example.com,영자,1,107,283,2024-09-20,183
133,oyun,hyejinjin@example.com,영희,87,16,359,2025-02-28,943
134,ijihyeon,yangyejun@example.com,서준,1,308,111,2024-07-29,234
135,gimsangho,hyeonsug52@example.org,시우,62,443,216,2024-09-12,567
136,hyeonji83,subino@example.org,지후,44,27,367,2024-01-10,676
137,gwangsuson,sanghogim@example.net,영길,10,305,185,2025-03-04,840
138,minseog46,sbag@example.com,은서,90,362,205,2024-07-19,211
139,minsujang,ujinjang@example.org,정호,47,368,308,2024-02-09,267
140,naminsu,zcoe@example.org,성수,61,324,465,2025-05-15,29
141,yeongmii,vjeon@example.org,영미,71,381,325,2025-02-08,861
142,yeonggil57,bryu@example.com,은지,48,389,68,2024-05-25,168
143,jiuca,gimjeonghun@example.net,은주,67,101,494,2024-05-22,429
144,gimjieun,sujin43@example.net,미경,9,17,261,2025-02-25,638
145,munjunhyeog,jinho95@example.net,정남,93,198,12,2025-01-22,927
146,hanjunho,yejibag@example.net,서윤,42,235,422,2024-02-03,723
147,junyeong89,jieun64@example.com,상훈,49,273,301,2023-10-20,382
148,eunyeongseo,ganghayun@example.net,민수,40,279,60,2024-09-24,869
149,hwanghyeonji,bagdoyun@example.com,영숙,47,364,108,2025-01-12,768
150,gyeongjagim,ccoe@example.com,순자,30,26,6,2025-02-11,52
151,gimseoyun,jeonghyihwang@example.org,유진,2,288,90,2025-01-16,589
152,junseogim,yeongceolbag@example.net,수민,80,163,261,2024-05-12,736
153,minjaegim,gweoncunja@example.com,재현,59,123,312,2024-08-16,579
154,gimhyeonju,ngim@example.net,수민,26,229,321,2024-05-31,280
155,doyun85,gimboram@example.com,민지,37,292,11,2024-11-17,804
156,hyeonju23,jeongnamryu@example.net,정자,25,164,221,2024-11-22,666
157,myeongja62,seonghoi@example.net,성수,11,63,498,2024-03-07,253
158,miyeong54,jia09@example.com,동현,18,113,378,2023-12-17,56
159,ryun,gweonjihyeon@example.com,광수,28,120,51,2025-01-11,371
160,yeongsugyun,zjang@example.net,지민,23,53,131,2023-12-22,437
161,gimmisug,wbag@example.net,지아,1,338,330,2024-10-22,313
162,zan,gimjeongho@example.com,수민,91,313,416,2025-02-04,962
163,cunjagim,gimsiu@example.com,민준,90,425,263,2024-03-04,21
164,di,jinu09@example.net,은지,68,233,23,2023-10-04,680
165,guseungmin,junseo66@example.net,광수,55,375,164,2024-07-30,532
166,jiuo,kmun@example.org,경희,100,236,311,2025-01-23,38
167,naogsun,jaehyeon34@example.org,지현,53,184,179,2024-04-10,688
168,hanjinho,tcoe@example.org,예준,88,374,254,2023-08-12,448
169,sgweon,ijunyeong@example.net,지후,64,436,170,2024-01-24,439
170,eunjigim,gimboram@example.org,수빈,2,228,60,2023-06-17,645
171,seonghun81,jiweongim@example.org,성훈,62,440,476,2023-11-19,265
172,pbag,jeonghyiyun@example.org,진우,10,493,443,2024-07-07,997
173,myeongjaheo,ihyeonu@example.com,현정,40,214,158,2023-07-19,461
174,munjeongnam,guhyejin@example.com,선영,44,256,152,2024-01-18,67
175,ganggyeongsu,hyeonji40@example.org,민재,1,387,443,2025-02-22,290
176,chan,ganggyeongja@example.com,영숙,89,188,436,2024-03-23,41
177,hyejingim,yeonghyii@example.com,민수,85,341,240,2024-07-21,426
178,asim,kgim@example.com,경희,35,489,473,2023-12-15,330
179,jeongung84,gimhyejin@example.com,영미,81,242,123,2023-12-02,634
180,seoyun76,hyeonju64@example.net,예원,58,114,317,2024-05-12,351
181,minseog23,gwangsugim@example.com,준영,47,405,368,2024-10-16,690
182,ycoe,gimjinu@example.net,광수,8,290,83,2023-12-13,214
183,uca,coejiweon@example.com,건우,78,492,360,2024-12-06,60
184,gimmijeong,idoyun@example.org,지훈,43,296,328,2024-10-16,72
185,yeonggilgweon,dohyeon85@example.org,성훈,51,449,236,2024-08-13,580
186,godonghyeon,jihyeon40@example.com,하은,78,336,63,2025-02-11,260
187,coegyeongsug,ngim@example.org,옥자,88,138,333,2023-08-11,168
188,zgim,areumi@example.org,성수,95,154,352,2024-12-22,957
189,caeweonbae,seoyeon23@example.net,건우,25,139,355,2024-11-13,51
190,igang,gangjeongsun@example.org,상현,76,237,43,2024-10-25,573
191,casugja,yeonghyi88@example.net,윤서,80,498,297,2023-09-08,16
192,ggim,jeongsui@example.com,건우,17,69,480,2023-08-13,359
193,janghaeun,jinho24@example.org,민수,67,179,200,2024-10-03,568
194,tgim,juweon35@example.net,현숙,37,82,36,2024-09-16,220
195,imijeong,egim@example.net,재호,26,229,427,2025-04-17,222
196,gimjeongsug,sangceoli@example.com,재호,22,144,449,2023-11-24,809
197,jeonghyi26,fsim@example.net,서영,37,128,16,2023-08-12,92
198,hcoe,oeunju@example.com,선영,20,126,20,2023-11-16,660
199,ijihye,gweonseongjin@example.net,성훈,65,430,321,2023-07-19,803
200,gimogja,xi@example.net,준서,34,54,396,2024-08-03,414
201,lgim,seungmin45@example.org,시우,13,450,199,2023-06-21,101
202,jinu04,oi@example.net,성진,92,48,235,2025-03-22,905
203,yi,xhwang@example.net,준영,59,478,378,2023-07-21,39
204,hbag,tjo@example.com,서윤,36,70,174,2023-09-23,227
205,gyeongja73,seoyeonggim@example.com,예은,91,216,181,2024-01-11,352
206,ucoe,jungsucoe@example.org,주원,16,205,453,2024-04-15,347
207,jeonghungim,gyeongsug38@example.org,성진,69,255,381,2023-09-17,447
208,jungsu73,jiahwang@example.org,미숙,47,94,129,2023-10-31,556
209,sanghun05,junhyeoghong@example.org,정호,91,193,438,2024-08-24,969
210,gimjunho,jangjeongja@example.org,순자,39,409,223,2024-12-13,753
211,gyeongsu75,yeongja68@example.net,건우,10,219,301,2025-04-14,208
212,ogsun62,eunseo88@example.com,민지,12,92,469,2023-11-09,848
213,qbag,sugja59@example.org,상철,11,118,487,2024-05-17,35
214,ibyeongceol,ei@example.org,정순,44,176,139,2023-10-13,648
215,yuneunji,eyang@example.net,도윤,29,328,434,2025-01-01,751
216,gweonhaeun,jinho36@example.org,숙자,18,49,119,2025-03-13,576
217,lan,areumgang@example.org,윤서,27,315,51,2025-01-26,412
218,bageunju,hanseongmin@example.net,영일,56,119,69,2023-09-04,124
219,yeonggil85,yeongceolgo@example.com,보람,47,18,314,2023-12-10,390
220,gujeongja,coehaeun@example.com,병철,66,229,344,2024-02-21,351
221,anseoyun,igim@example.com,영일,1,195,428,2025-04-22,27
222,minseobag,ijia@example.org,수진,5,98,3,2024-07-09,823
223,lgim,yejin08@example.org,성진,21,17,218,2025-01-02,847
224,gyeongsug25,yeonggil87@example.com,정자,17,136,340,2024-03-13,289
225,anhyeonu,gi@example.net,영철,61,418,19,2024-10-27,277
226,seungminno,bagjeongho@example.net,재호,27,293,25,2025-01-21,171
227,subin02,gyeongsuggim@example.com,주원,52,168,166,2025-01-27,446
228,ehwang,jimin29@example.net,건우,58,112,167,2023-10-12,168
229,gimseoyeong,jgim@example.com,은서,44,190,220,2024-09-04,587
230,baegeunju,minseoha@example.net,정숙,46,1,53,2025-02-04,306
231,seojihun,jiyeongim@example.net,하은,73,278,97,2025-01-19,481
232,ijeonghun,yeongsig94@example.net,지아,11,393,217,2023-11-15,565
233,ti,minsu07@example.org,예지,54,365,69,2024-06-10,284
234,hwanghyeonsug,jaeho69@example.com,정웅,84,38,375,2024-08-13,841
235,gimseongjin,san@example.com,은지,41,0,127,2024-09-18,341
236,subin91,fo@example.org,은서,14,290,58,2023-09-23,648
237,byeongceol45,bgim@example.com,경숙,90,295,297,2024-04-22,1
238,vcoe,doyun47@example.com,채원,9,354,153,2025-04-07,158
239,imisug,jihunju@example.com,혜진,17,271,391,2023-10-17,371
240,nogyeongsu,yeeun50@example.org,동현,26,399,186,2023-07-04,124
241,jangjeongung,coesunog@example.com,정숙,82,429,35,2023-10-20,88
242,gimhyeonji,jimin44@example.com,선영,27,96,263,2024-04-01,67
243,areum25,haeungim@example.com,혜진,47,218,431,2024-07-11,375
244,ygim,ajang@example.com,도윤,28,108,419,2025-03-04,344
245,egim,yeongho16@example.com,은서,28,17,460,2024-08-01,595
246,miyeonggim,hyeonji78@example.org,은주,69,398,246,2023-06-05,620
247,fbag,seonyeong69@example.net,지훈,12,335,222,2024-04-09,246
248,sangceolgang,pseo@example.org,영길,73,39,280,2024-09-15,540
249,imyeongsug,ijeongnam@example.net,종수,75,353,67,2025-01-04,706
250,seongho16,gimsangho@example.com,주원,18,319,483,2024-08-23,3
251,seoyun94,yeongilgweon@example.net,지혜,18,312,147,2024-11-09,738
252,li,seonyeonggim@example.net,진우,70,348,285,2024-10-04,350
253,sangho22,ijaeho@example.org,정남,44,259,435,2024-03-27,740
254,geonu19,ogjamun@example.com,정훈,45,433,36,2025-04-07,578
255,gseo,znam@example.com,미경,11,219,310,2025-01-14,28
256,yeonghwan23,sujinbag@example.net,현주,69,338,101,2023-11-15,359
257,pgim,munyeonghyi@example.org,미영,1,260,219,2024-12-09,13
258,junho97,minsui@example.com,예준,20,475,176,2023-12-07,223
259,hyeonjun00,jeongsig10@example.net,재호,77,371,269,2024-07-05,333
260,gimminjun,sunja17@example.org,지혜,31,133,69,2023-07-13,889
261,coedonghyeon,yeonggilmin@example.com,순자,36,223,353,2024-03-29,656
262,jeongho21,gimmijeong@example.com,건우,32,308,6,2024-12-01,957
263,ui,jihun21@example.net,지후,41,316,140,2024-09-03,703
264,gimjia,sonyeongsug@example.com,민재,30,225,27,2024-11-16,115
265,jeongsig75,gyeongsug32@example.net,미정,24,173,418,2025-03-16,581
266,rgim,agim@example.net,미숙,39,131,325,2024-02-23,574
267,anjiyeon,jieungim@example.net,건우,100,425,370,2024-11-02,998
268,jiabag,eunseohwang@example.com,성민,30,319,371,2023-10-04,442
269,yeongho22,jinho63@example.net,승현,66,458,173,2025-03-09,886
270,gimjeongung,jimincoe@example.com,상호,67,242,400,2023-12-05,580
271,hyeonjigim,bagmijeong@example.com,병철,75,93,325,2025-01-31,171
272,simseonghun,jihu40@example.org,미숙,22,191,144,2025-02-19,869
273,sunogi,bagsumin@example.net,미숙,93,463,110,2024-09-13,914
274,bi,bagseohyeon@example.com,정훈,33,495,203,2023-07-26,338
275,byeongceolgang,ygim@example.com,춘자,9,498,317,2025-05-23,580
276,donghyeonan,yeongsuggim@example.org,순자,64,117,5,2024-09-18,500
277,hanseunghyeon,hyeonjun48@example.org,우진,8,79,236,2023-07-28,166
278,jieun10,phan@example.org,예은,44,331,137,2024-01-13,229
279,qi,hyeonjubag@example.org,준영,15,340,266,2024-11-02,326
280,qsim,yeongsuggim@example.com,상호,16,314,99,2024-04-03,860
281,sujinbag,hwangjiweon@example.org,병철,70,173,233,2023-10-09,284
282,doyun11,boramnam@example.net,진호,99,127,240,2025-02-06,559
283,yeongsu39,hson@example.net,정숙,3,418,151,2023-07-29,784
284,miyeonggim,seungmini@example.com,상호,39,334,231,2024-07-16,633
285,jinhogim,eunseogim@example.net,민서,29,328,151,2024-01-03,291
286,ojunhyeog,songjuweon@example.com,은주,34,275,240,2024-11-22,823
287,coemijeong,gimjunseo@example.com,명숙,73,293,191,2024-03-09,337
288,fgim,jiweon01@example.net,정훈,58,152,393,2025-05-18,494
289,seoyejin,jijeongsug@example.com,영일,17,273,362,2024-04-13,0
290,bhan,ceom@example.com,보람,97,200,253,2023-08-03,628
291,yeongceoli,juweon48@example.com,지현,32,228,80,2024-12-14,231
292,gbag,seonghun99@example.net,건우,15,214,233,2023-09-12,17
293,hi,osunog@example.org,미정,88,83,151,2025-04-05,621
294,gimjihyeon,xgim@example.com,미정,12,376,49,2024-03-29,834
295,eunji08,jeongungyun@example.com,민준,100,73,428,2024-10-26,707
296,jeonogsun,seonghyeongim@example.org,보람,73,213,86,2024-09-29,116
297,gimyeongsig,vryu@example.com,옥순,67,260,15,2024-02-14,289
298,yeongsuggim,gimjongsu@example.org,진우,7,297,281,2023-10-16,518
299,abag,jiyeongi@example.net,예원,95,451,184,2024-09-13,811
300,seongminim,jgim@example.net,광수,59,240,46,2023-11-22,806
