user_id,phone,created_at,auth_status,subscription_type
39,044-506-9557,2025-04-05 02:57:33.211911,미인증,VIP
40,032-249-5041,2024-12-09 10:50:10.380557,인증대기,골드
41,041-535-8223,2024-12-31 19:11:38.445077,미인증,프리미엄
42,054-281-0311,2025-02-22 00:47:08.235672,인증완료,골드
43,063-638-8097,2025-03-28 14:24:06.905433,인증대기,골드
44,041-537-1580,2025-03-10 13:39:22.744334,인증대기,무료
45,011-901-0200,2025-02-25 13:00:52.008964,인증완료,프리미엄
46,052-083-8623,2025-02-07 21:39:08.248761,인증대기,프리미엄
47,011-345-8169,2025-03-23 17:54:04.914620,미인증,골드
48,019-374-3830,2025-04-08 21:38:53.162886,미인증,프리미엄
49,019-089-9229,2025-03-18 12:10:35.832643,미인증,골드
50,018-063-1163,2024-12-28 00:19:57.189217,미인증,VIP
51,041-453-8598,2025-01-23 15:34:12.619445,인증대기,골드
52,043-143-6254,2024-12-30 14:13:56.911767,미인증,무료
53,052-461-3454,2025-02-12 10:58:56.104004,미인증,무료
54,032-167-0457,2025-06-02 06:02:12.507304,인증완료,골드
55,033-989-8842,2025-03-05 05:34:49.076384,인증완료,프리미엄
56,052-844-9245,2025-04-24 14:08:01.622677,인증완료,프리미엄
57,016-093-0492,2025-05-04 18:19:42.776233,인증완료,VIP
58,032-962-3073,2025-01-24 00:07:26.494792,인증대기,VIP
59,017-503-4671,2025-01-18 13:36:06.817231,미인증,VIP
60,051-471-4516,2024-12-16 22:15:36.073938,인증완료,VIP
61,016-340-1472,2025-02-03 14:17:23.440623,인증완료,무료
62,062-833-2057,2025-04-15 05:50:18.142158,인증완료,프리미엄
63,02-9558-3042,2025-05-20 01:49:04.615556,미인증,무료
64,070-1161-1300,2025-03-01 11:03:32.204557,미인증,VIP
65,010-4615-5275,2024-12-22 19:15:45.565039,인증대기,프리미엄
66,044-470-6360,2025-03-31 06:15:17.555673,인증대기,VIP
67,011-364-5176,2025-01-07 17:43:10.274713,미인증,골드
68,053-481-0739,2025-04-02 18:00:53.252613,미인증,VIP
69,070-4562-6300,2025-04-22 19:25:51.095046,인증완료,VIP
70,070-1982-6203,2025-05-02 17:46:01.292340,미인증,무료
71,043-207-6699,2025-01-28 20:14:53.699521,인증대기,무료
72,042-158-4613,2025-05-15 16:26:22.098274,미인증,프리미엄
73,044-625-9493,2025-04-23 23:53:47.651019,인증완료,프리미엄
74,052-862-1636,2025-05-06 17:25:28.819932,인증완료,무료
75,051-262-5336,2025-02-07 01:02:27.984734,인증대기,무료
76,016-758-0028,2025-04-06 21:11:53.957919,미인증,골드
77,033-447-4845,2024-12-03 06:09:16.350441,인증대기,프리미엄
78,017-399-6067,2025-01-09 00:21:00.982435,미인증,VIP
79,02-2912-0056,2025-01-25 18:58:47.259604,인증완료,무료
80,018-795-4489,2025-02-07 04:24:52.987061,인증완료,프리미엄
81,011-468-6190,2025-04-22 12:12:26.544501,미인증,프리미엄
82,052-229-6730,2024-12-05 00:42:21.398013,인증대기,프리미엄
83,052-553-4984,2025-04-21 07:17:57.079791,인증대기,VIP
84,054-023-1815,2025-05-08 17:27:37.325503,미인증,VIP
85,017-202-9952,2024-12-12 21:42:57.356730,미인증,무료
86,010-0837-4994,2025-05-17 10:24:38.137921,인증완료,프리미엄
87,02-3138-2914,2024-12-15 22:02:41.638182,인증완료,골드
88,010-7103-8004,2024-12-17 02:27:43.530671,인증완료,VIP
89,062-443-7160,2025-05-29 13:28:07.731318,인증대기,무료
90,010-8924-0827,2025-01-07 20:26:30.747837,인증완료,골드
91,070-9142-5340,2025-01-31 14:11:15.600118,인증대기,VIP
92,041-383-9410,2025-05-18 10:33:43.354444,미인증,프리미엄
93,011-635-7095,2025-01-24 12:58:00.627649,인증완료,VIP
94,043-528-6042,2025-04-10 21:46:48.981744,미인증,골드
95,010-6752-1866,2025-03-12 03:50:52.162558,미인증,프리미엄
96,070-1123-7513,2025-04-09 06:28:21.738869,인증대기,골드
97,052-025-0452,2025-04-10 17:36:27.060251,인증대기,VIP
98,061-678-6218,2025-01-20 13:23:15.530445,인증대기,골드
99,016-758-0388,2025-04-25 09:04:27.682122,인증완료,프리미엄
100,019-118-6575,2025-01-06 00:40:25.382350,인증완료,프리미엄
101,070-7309-1934,2025-04-02 21:05:27.256546,인증완료,VIP
102,031-396-0065,2025-05-22 16:59:22.194492,인증완료,골드
103,063-913-7735,2025-01-08 15:26:27.459723,미인증,VIP
104,043-033-1238,2024-12-11 18:33:53.125164,인증대기,프리미엄
105,044-628-0411,2025-02-10 06:53:52.272978,인증완료,골드
106,02-2170-2406,2025-04-25 14:27:50.619262,인증대기,프리미엄
107,051-365-3754,2025-02-14 23:03:05.961303,미인증,VIP
108,02-4743-6903,2025-02-06 02:37:20.756316,인증완료,무료
109,02-5878-6993,2025-02-27 01:40:56.596809,미인증,무료
110,051-216-7194,2024-12-19 15:19:28.304936,미인증,VIP
111,043-181-1880,2025-01-25 05:27:31.043365,인증대기,VIP
112,063-158-5181,2025-03-26 03:35:44.048700,인증대기,골드
113,016-887-4805,2025-01-22 14:08:54.762384,인증대기,골드
114,042-529-9589,2025-01-16 14:36:00.161903,인증대기,무료
115,02-6125-5290,2025-01-21 18:08:49.041674,인증완료,프리미엄
116,043-223-7865,2025-05-08 13:20:03.559982,미인증,무료
117,011-069-1782,2025-01-25 09:26:05.790277,미인증,무료
118,054-820-3735,2025-05-17 04:28:38.294180,미인증,골드
119,064-700-0233,2024-12-20 23:24:15.911592,인증대기,무료
120,054-166-2308,2025-01-23 07:35:40.003061,인증완료,무료
121,018-177-5318,2025-03-11 19:30:56.332279,미인증,무료
122,053-781-9809,2025-03-16 18:38:32.819744,미인증,골드
123,019-747-0676,2025-05-20 07:58:19.498329,인증대기,골드
124,062-379-3189,2025-01-01 11:55:45.750829,인증완료,프리미엄
125,041-605-7896,2025-05-09 18:57:45.975403,미인증,무료
126,064-779-8732,2025-05-01 21:58:14.607267,인증완료,VIP
127,061-038-6554,2025-03-02 13:32:09.908543,인증대기,VIP
128,02-2350-3374,2024-12-13 18:13:51.380225,인증완료,무료
129,064-745-9402,2025-02-15 22:52:15.554488,인증대기,무료
130,054-361-5674,2025-03-16 18:37:40.855272,미인증,VIP
131,064-797-4425,2025-04-10 13:35:48.144545,인증완료,골드
132,054-234-2116,2025-03-27 00:53:22.237145,인증완료,골드
133,063-838-1408,2025-02-19 17:13:46.360899,인증대기,무료
134,018-256-2820,2025-03-29 14:50:14.440190,미인증,무료
135,018-544-1084,2025-05-30 21:12:23.020947,인증대기,골드
136,062-248-1416,2025-04-26 06:04:19.696527,인증완료,골드
137,053-248-3788,2025-05-01 05:53:45.510782,미인증,무료
138,011-803-4523,2025-01-23 00:40:12.629529,인증대기,골드
139,011-896-7160,2025-05-26 13:14:15.919698,인증완료,프리미엄
140,033-594-8266,2024-12-09 05:55:40.666310,인증대기,프리미엄
141,061-155-0899,2025-01-24 16:05:23.285997,인증완료,프리미엄
142,043-668-9603,2025-03-11 05:56:29.541863,인증대기,골드
143,061-003-4619,2025-05-19 08:00:13.968611,미인증,프리미엄
144,061-774-8418,2024-12-24 16:41:50.189952,인증완료,프리미엄
145,011-108-3836,2025-01-06 19:09:46.596990,미인증,VIP
146,033-081-3563,2025-04-22 16:01:58.174733,인증완료,무료
147,041-289-6541,2025-03-30 14:43:02.811315,인증대기,골드
148,043-943-6290,2024-12-27 05:40:18.831429,미인증,프리미엄
149,016-709-7137,2024-12-28 10:20:23.692827,인증완료,무료
150,018-644-7246,2024-12-03 21:59:44.808543,인증대기,프리미엄
