user_id,phone,auth_status,subscription_type,is_online,warning_count,last_login,created_at,referral_code,marketing_consent
39,042-775-7433,인증완료,무료,True,2,2025-01-31 00:14:35.193677,2025-03-03 00:10:15.242723,wfEx####,True
40,043-292-4757,미인증,프리미엄,False,0,2025-02-14 17:59:18.754714,2025-04-06 16:20:37.510140,DcTQ####,True
41,041-971-8290,인증완료,골드,False,3,2024-08-31 09:01:47.978134,2025-04-29 12:22:40.028237,LWxn####,False
42,055-985-2126,미인증,무료,False,0,2024-07-02 19:58:58.459066,2025-02-06 09:40:46.065006,gANK####,False
43,051-134-1558,인증완료,프리미엄,True,0,2025-01-20 05:08:59.776710,2025-03-01 08:47:10.070191,NytB####,False
44,041-273-8144,인증대기,프리미엄,False,3,2025-03-25 04:59:39.789436,2025-01-19 04:48:56.218286,lNhD####,True
45,043-068-4369,미인증,무료,False,3,2024-06-20 06:08:10.519015,2025-01-02 03:19:21.843510,lSad####,False
46,070-4967-0867,인증대기,VIP,False,1,2024-08-27 15:59:37.778936,2025-02-21 12:56:36.539731,lEYI####,True
47,041-212-9001,인증완료,VIP,True,1,2025-03-30 08:16:38.209820,2025-02-02 07:30:09.629941,pJne####,True
48,044-480-8378,미인증,골드,False,0,2024-09-01 21:41:15.521301,2025-03-10 03:13:22.077131,esWz####,False
49,011-027-6061,인증완료,VIP,False,2,2024-12-31 06:49:50.735514,2025-02-13 11:37:51.327812,XAeU####,True
50,018-705-6345,인증대기,골드,False,0,2024-06-27 06:22:16.807659,2024-12-11 19:14:16.738698,spup####,False
51,02-4063-6554,인증완료,골드,False,3,2024-12-07 00:49:59.706811,2025-06-01 21:06:53.487796,TCFq####,True
52,041-558-0792,인증대기,무료,False,3,2025-05-18 19:52:36.448564,2024-12-24 16:32:36.234596,kfAR####,False
53,063-607-9270,인증완료,골드,True,0,2024-10-24 05:43:44.852910,2025-02-21 18:27:29.431905,tkdj####,False
54,016-071-8273,미인증,VIP,True,0,2024-08-21 05:09:43.821968,2025-02-23 09:52:15.261389,yTJJ####,True
55,018-389-7776,인증대기,무료,False,3,2025-05-26 09:11:26.851333,2025-06-01 14:30:58.351267,etey####,True
56,062-977-0421,인증완료,무료,False,3,2025-03-18 14:39:11.759099,2025-03-30 18:09:45.096047,tBzF####,True
57,032-873-7904,인증대기,골드,True,2,2025-02-03 07:02:19.690375,2025-02-01 23:54:50.334376,Twbs####,True
58,052-082-6988,인증대기,무료,False,3,2024-10-17 01:33:02.179507,2025-05-23 21:29:08.820179,dwVQ####,True
59,041-011-1527,인증대기,프리미엄,False,1,2024-09-17 07:36:48.706081,2024-12-19 14:42:41.460545,GMjO####,False
60,011-647-1263,인증대기,무료,False,0,2025-03-23 15:45:45.232923,2025-02-20 00:42:45.318952,HCkW####,True
