detail_id,contact_id,address,birthday,job,notes,favorite
22,22,제주특별자치도 용인시 처인구 언주0가 713-11,1970-02-20,기타 전기/전자기기 설치 및 수리원,Culpa soluta aspernatur. Alias aut qui accusantium fugiat. Sit ab ipsum iusto provident.,True
23,23,전라남도 수원시 영통구 언주1로 490 (선영유이리),1949-09-04,택시 운전원,Tempore sunt nulla id numquam earum sunt distinctio. Doloremque facere similique ullam nisi dolore.,False
24,24,경기도 수원시 영통구 서초중앙로 900-55 (경희최배마을),2000-08-18,상점 판매원,Ea nihil ratione distinctio. Nostrum beatae aliquam error inventore.,True
25,25,대구광역시 동대문구 백제고분606로 528,1988-08-31,기타 금융 및 보험 관련 전문가,Porro nihil nesciunt cumque impedit pariatur. Nisi accusamus ut voluptate.,False
26,26,울산광역시 양천구 가락1길 지하171 (지혜이마을),1977-08-14,건축가 및 건축공학 기술자,Dignissimos quis enim dolores. Sed natus modi perferendis quia.,False
27,27,울산광역시 강서구 백제고분길 995 (상훈김읍),1997-05-13,자연과학 시험원,Alias quaerat est exercitationem ipsa. Dolores temporibus accusamus veniam fuga.,False
28,28,인천광역시 동대문구 도산대11로 101,1946-12-20,여행 사무원,Officia numquam ex sapiente magni. Voluptatem nam libero eius accusamus.,True
29,29,서울특별시 은평구 서초대거리 지하304 (종수김읍),1966-06-03,기타 비금속제품관련 생산기 조작원,Sit cum quis totam optio quo. Repellat eum inventore debitis quaerat nemo voluptas eligendi.,True
30,30,부산광역시 중랑구 논현로 85 (상철김김동),1969-10-22,기타 전기/전자기기 설치 및 수리원,Labore excepturi praesentium. Voluptates quidem ducimus ratione. Possimus impedit veritatis quas.,False
31,31,부산광역시 서대문구 서초중앙로 197,1955-04-04,자동차 영업원,Blanditiis voluptatem hic impedit earum quisquam ad. Nulla recusandae impedit non.,False
32,32,울산광역시 북구 테헤란가 779 (지우김남마을),1953-02-25,자동차 정비원,Nam dicta vitae nihil. In asperiores cumque cum consectetur. Inventore iusto tempora.,True
33,33,전라북도 의정부시 학동로 지하578,1987-11-02,재단사,Voluptatem voluptas quo. Expedita perspiciatis facilis sapiente.,False
34,34,제주특별자치도 고양시 덕양구 테헤란883거리 461 (하윤류리),1988-08-19,기타 공학관련 기술자 및 시험원,Voluptatum assumenda delectus.,False
35,35,세종특별자치시 종로구 가락45로 995,1956-11-13,식품 및 담배 등급원,Reprehenderit aut deserunt ipsam. Cum sed aperiam et hic.,False
36,36,충청북도 용인시 수지구 석촌호수가 310 (민서김유리),1951-04-15,가스/에너지 기술자 및 연구원,Iusto sequi vitae fuga laborum. Facere quae incidunt vitae cumque ex.,False
37,37,경상북도 안성시 양재천가 682,1991-06-23,간호사,Quo blanditiis modi nisi sunt dolor assumenda.,True
38,38,경기도 평택시 논현가 238,1951-03-27,보건위생 및 환경 검사원,Officiis cupiditate quam amet accusantium exercitationem hic. Rem iusto totam quod.,False
39,39,서울특별시 종로구 양재천720가 278 (지연김읍),1991-12-18,배관 세정원 및 방역원,Excepturi tenetur ratione sint sint quam. Alias quia officiis facilis.,True
40,40,대구광역시 영등포구 테헤란59로 706,1983-04-26,변리사,Rem ducimus maxime qui. Excepturi eos mollitia. Aliquam aperiam unde.,False
41,41,전라남도 안산시 단원구 백제고분거리 472,1960-06-16,과실 및 채소 관련 기계조작원,Corrupti consequatur sint repudiandae quod neque. Rerum assumenda officiis esse alias omnis.,False
42,42,충청남도 성남시 수정구 도산대길 411-96 (순자김김리),2008-08-10,신용 추심원,Consequatur iusto laboriosam consectetur pariatur. Tempore minus ipsam perferendis saepe.,False
43,43,부산광역시 은평구 강남대4로 지하292,1949-03-13,위생사,Perferendis debitis excepturi qui totam impedit ipsam quam. Tempore delectus commodi autem.,False
44,44,전라북도 청주시 청원구 백제고분2길 지하459,1984-07-21,물리 및 작업 치료사,Exercitationem ratione ut. Ut labore ullam.,True
45,45,인천광역시 노원구 양재천가 73-14,2009-03-06,건설자재 시험원,Soluta porro reiciendis maxime. Aspernatur soluta aut veniam sapiente facere est.,False
46,46,전라북도 수원시 장안구 언주571가 953 (예지노김동),1974-05-21,주유원,Nam cumque aut distinctio nobis illo porro. Sit eligendi quasi. Officiis molestiae tempora cumque.,True
47,47,울산광역시 마포구 역삼거리 247,1952-02-15,자동조립라인 및 산업용 로봇 조작원,Voluptatum sunt id temporibus. Quam debitis illo soluta atque officia ab.,False
48,48,광주광역시 종로구 반포대31가 399 (시우이면),1969-07-16,물리 및 작업 치료사,Molestias ullam quae unde. Illum libero ab consectetur sint odit.,False
49,49,전라남도 화성시 잠실가 875,1950-11-13,경호원,Molestias non illo. Atque quas ea dolorem illo magni.,False
50,50,충청북도 고성군 도산대77가 486-5,1964-06-21,판금기 조작원,Nesciunt consectetur modi hic quia.,False
51,51,충청북도 안산시 상록구 반포대22로 211-62,1986-08-21,노점 및 이동 판매원,Et aliquam similique quod molestiae.,False
52,52,충청남도 수원시 장안구 언주300거리 34-47 (지민권동),1951-08-23,임산물채취 및 기타 임업 관련 종사원,Libero unde minima deserunt unde. Praesentium nobis maiores consequuntur non quis.,False
53,53,전라북도 양양군 삼성46거리 449 (혜진윤이읍),1999-06-05,성직자,Illum facilis inventore neque accusamus iusto fugiat.,True
54,54,경상남도 구리시 도산대10가 지하534 (명숙안민리),1972-02-04,건설 및 광업 단순 종사원,Suscipit tenetur error quas facilis quod illum atque. Ipsum nobis ullam repudiandae cum.,False
55,55,경기도 서천군 영동대로 18-41,1979-12-06,사회과학 연구원,Error in porro quia est mollitia. Commodi hic doloribus odit magnam.,False
56,56,전라북도 용인시 기흥구 역삼가 797,1951-06-12,배관 세정원 및 방역원,Quasi animi reiciendis fugit perferendis. Quis ipsa est similique voluptatum omnis.,True
57,57,부산광역시 중구 압구정6거리 655,1976-08-11,통신공학 기술자 및 연구원,"Magni consequatur ullam nemo.
Illo hic quos illo dignissimos minus molestias.",False
58,58,광주광역시 성북구 가락길 644,2006-03-17,기타 채굴 및 토목 관련 종사자,Voluptate aut non error voluptatibus. Sit quasi doloribus ipsum repellat.,False
59,59,제주특별자치도 의왕시 백제고분가 416 (유진김이리),2004-12-31,의회의원/고위공무원 및 공공단체임원,Quam pariatur consectetur placeat.,False
60,60,대구광역시 남구 논현150로 지하334 (지우김류마을),1985-03-31,산업전공,Veniam sapiente autem. Iste ratione itaque. Totam consequuntur commodi amet fugit.,False
61,61,인천광역시 중랑구 역삼0가 322-55,1960-10-16,시스템 소프트웨어 개발자,Consequatur rem dicta. Cumque vel nulla mollitia facilis atque illo.,True
62,62,전라북도 철원군 백제고분가 624 (정희박장마을),1958-02-25,통신 및 관련 장비 설치 및 수리원,Culpa sit assumenda. Veniam quia ratione assumenda. Veritatis nisi quas dolor.,True
63,63,세종특별자치시 동대문구 봉은사로 589 (도윤한마을),1963-07-02,인쇄기 조작원,Aut magnam voluptatum omnis. Nemo aspernatur molestias cupiditate.,True
64,64,경상북도 충주시 영동대04로 940-25 (현정류리),1990-05-10,택배원,Cumque impedit eum impedit rerum sequi nam. Nemo magnam tenetur doloremque error.,True
65,65,경기도 고양시 선릉거리 785-58,1956-03-14,광석 및 석제품 가공기 조작원,Itaque quisquam delectus tenetur.,False
66,66,경상남도 안양시 동안구 강남대9로 427-20 (승민김리),1966-07-05,생명과학 시험원,Distinctio esse tempore ipsam maxime debitis. Soluta reprehenderit ab dolore similique.,False
67,67,충청북도 하남시 삼성거리 746-98,1987-03-05,연예인 및 스포츠 매니저,In maiores unde reiciendis. Debitis ducimus ullam voluptatibus.,False
68,68,경기도 천안시 동남구 잠실2가 622,1982-02-02,양식원,Et exercitationem expedita est quia. Ullam perspiciatis mollitia in fugit perferendis beatae.,False
69,69,제주특별자치도 평택시 영동대13로 839 (종수조이리),1953-02-11,펄프 및 종이 제조장치 조작원,Itaque earum inventore fuga numquam enim molestias. Est sunt recusandae accusantium repudiandae.,True
70,70,경기도 충주시 삼성0거리 940 (영식오읍),1948-05-12,만화가 및 만화영화 작가,Nostrum amet est illo minima. Pariatur recusandae pariatur autem officiis.,False
71,71,부산광역시 강남구 언주길 331-18,1966-05-27,공예원,Quis optio ipsam sint vel. Labore ut dolor itaque ad dolor.,False
72,72,세종특별자치시 용산구 학동거리 지하185 (정숙강이리),1965-01-17,기타 채굴 및 토목 관련 종사자,Minima esse eveniet modi. Esse ab vero debitis veniam dolorem. Est ratione facilis excepturi.,True
73,73,부산광역시 중구 서초대373길 799-2,1976-06-13,영양사,Molestias dolore ut vero sint mollitia.,False
74,74,전라북도 홍천군 학동901길 311,1974-01-23,생명과학 연구원,Repudiandae molestias sapiente deleniti. Atque facilis voluptates quasi unde nisi reprehenderit.,False
75,75,강원도 양평군 도산대284거리 462-99 (은정우김마을),1955-01-07,여행 및 관광통역 안내원,Distinctio quasi vel magnam. Veritatis consequuntur animi aspernatur placeat tempore maiores.,False
76,76,충청남도 청주시 서원구 가락7거리 747-89,2003-09-19,정보 시스템 운영자,Repudiandae in facilis dolores. Vero quam natus cum. Est quam ab.,False
77,77,대전광역시 관악구 오금5길 592-83,2002-05-12,아나운서 및 리포터,Quis magni dignissimos officiis reiciendis. Temporibus facere sequi aspernatur.,False
78,78,충청북도 태안군 봉은사31로 324 (우진김장면),1987-07-05,기타 식품가공관련 기계조작원,Necessitatibus minima inventore aspernatur labore aliquam. Voluptas voluptates minus iste.,False
79,79,대구광역시 서구 반포대350길 29,1965-06-24,플라스틱제품 생산기 조작원,Maxime vitae eligendi voluptatem eius eius. Recusandae illum nemo dignissimos sint cupiditate.,False
80,80,울산광역시 관악구 서초대316길 684,1993-11-30,시민 단체 활동가,Amet voluptatem veritatis nam ipsa tempore. Quidem laboriosam dolorum eius maxime.,False
81,81,서울특별시 북구 서초대2가 863,1974-06-10,판사 및 검사,Repudiandae error animi vitae. Ipsam velit quos nihil. Sed quis nesciunt adipisci aliquid.,False
82,82,대전광역시 송파구 석촌호수가 799 (재호백면),1949-09-18,인터넷 판매원,Accusantium culpa sed vero qui quibusdam suscipit. Laborum dignissimos eaque quidem aut esse magni.,False
83,83,경기도 파주시 논현7로 904,1978-08-19,치과기공사,Iusto esse placeat quam occaecati. Dolore ea animi repellendus molestias.,False
84,84,경상북도 고양시 일산서구 반포대8가 289 (혜진박면),2003-10-21,예능 강사,Esse consequuntur blanditiis amet ratione totam.,False
85,85,울산광역시 양천구 도산대가 240 (옥순김서면),1956-04-05,기타 석유 및 화학물 가공장치 조작원,Repellat corrupti culpa eius. Labore adipisci corporis animi aspernatur suscipit.,False
86,86,울산광역시 서구 선릉63로 600-48 (수빈김하면),1995-09-22,냉동/냉장 /공조기 설치 및 정비원,Ratione dicta mollitia hic est voluptate. Corporis sunt voluptas labore veritatis at.,False
87,87,전라북도 화천군 개포가 965-48,1953-11-22,판금원,Et quos tenetur dolorum distinctio. Eaque eos excepturi quidem.,False
88,88,대구광역시 성북구 강남대72가 565 (상훈박리),1978-06-05,제관기 조작원,Ipsa atque eius. Nemo recusandae libero odit tenetur officiis.,False
89,89,경기도 청주시 서원구 논현457가 258,1982-05-10,통신 및 관련 장비 설치 및 수리원,Veritatis molestias iste aliquam. Accusamus cumque explicabo reprehenderit ea fuga illum minus.,False
90,90,제주특별자치도 인제군 논현가 70-94,1964-01-30,건설 및 광업 단순 종사원,Nesciunt repellat esse veritatis voluptatibus. Fugit fugiat consequatur occaecati.,False
91,91,서울특별시 중랑구 오금64거리 508,1976-05-20,컴퓨터 강사,Placeat eligendi vero eveniet. Sunt alias amet debitis commodi quia.,False
92,92,세종특별자치시 양천구 영동대가 483-83,1951-02-25,농림어업관련 시험원,Voluptas est ipsam a quia. Consequatur dicta ut vitae earum. Odit enim voluptatibus quia delectus.,False
93,93,대구광역시 광진구 양재천99로 627,2004-08-17,건축 도장공,Perferendis eum unde esse alias aliquam quidem.,False
94,94,전라북도 화성시 양재천18거리 291-58,2000-08-27,보험 설계사 및 간접투자증권 판매인,Atque repudiandae dolore quo. Soluta rerum recusandae quis itaque. Perferendis officia ad quis.,False
95,95,광주광역시 서구 가락길 128 (영희김마을),1993-06-05,기타 여가 및 스포츠 관련 종사원,Error error ea dolorem delectus. Dignissimos autem ea. Temporibus eligendi excepturi eos.,False
96,96,광주광역시 용산구 석촌호수2길 625-55,1978-07-02,대학 시간강사,Sint maiores libero deserunt ipsam corporis ullam ratione.,True
97,97,전라북도 성남시 중원구 잠실거리 400 (정순배박읍),1978-01-21,기타 자동차 운전원,Reiciendis pariatur doloremque rerum vero. Odit occaecati quae quisquam error.,False
98,98,전라북도 철원군 개포269길 607 (수민허읍),1954-07-14,간호사,Placeat eius quos officia dolor officia. Maiores porro praesentium velit.,False
99,99,울산광역시 중랑구 잠실길 70,1978-05-01,피부미용 및 체형관리사,Dolor voluptate eaque aperiam. Libero neque unde incidunt natus eligendi amet facere.,False
100,100,경기도 원주시 압구정가 172-51 (지현심송읍),1984-07-25,양장 및 양복 제조원,Expedita officiis iusto nemo. Libero voluptates ipsum commodi.,False
101,101,서울특별시 중구 언주94가 744 (은지백김마을),1944-12-14,곡식작물 재배원,Adipisci quidem ut voluptates. Aspernatur impedit voluptate fuga.,False
102,102,울산광역시 성동구 강남대거리 434 (승현이김리),1968-03-30,운송장비 조립원,Sit maxime maxime aliquid. Similique molestiae consequuntur error architecto quas modi laudantium.,True
103,103,충청남도 횡성군 석촌호수550길 668-59,1972-06-02,조림/영림 및 벌목원,Suscipit corrupti molestias eaque expedita atque. Nesciunt ullam explicabo est.,False
104,104,전라북도 천안시 동남구 양재천로 지하453,1976-03-02,상품중개인 및 경매사,Eos iusto saepe et corrupti temporibus voluptatum. Recusandae cum eaque ipsa atque recusandae.,False
105,105,강원도 속초시 반포대93거리 631 (영자양면),1957-01-11,통신 및 관련 장비 설치 및 수리원,Officia amet ducimus assumenda ab temporibus.,False
106,106,경기도 포천시 학동로 681,1953-03-28,지휘자/작곡가 및 연주가,Expedita a atque fuga laborum. Deleniti praesentium quibusdam minus.,False
107,107,울산광역시 관악구 서초중앙10길 331 (지현황이동),1982-09-28,영상/녹화 및 편집 기사,Nam nisi id quasi aliquam itaque amet. Aliquam voluptatem numquam fuga et tempore enim occaecati.,False
108,108,부산광역시 도봉구 영동대845거리 지하894 (예준장마을),1968-02-17,제품 디자이너,Suscipit et cumque aut qui facilis.,False
109,109,경상남도 성남시 양재천가 지하19,1981-09-17,숙박/여행/오락 및 스포츠 관련 관리자,Expedita doloribus maiores consequuntur rem.,False
110,110,대구광역시 중구 석촌호수길 191 (보람차이읍),1976-08-15,육류/어패류 및 낙농품 가공 기계조작원,Perspiciatis quidem quam odit doloremque. Quod cum molestiae eius soluta numquam.,False
111,111,세종특별자치시 송파구 역삼로 882-93,1996-09-03,보육 교사,Saepe quisquam iure alias voluptas ducimus. Iste quae magnam repudiandae.,False
112,112,광주광역시 중구 언주23로 163-29,1957-09-17,농림어업관련 단순 종사원,Odit dolor vitae fugiat.,False
113,113,서울특별시 동작구 서초중앙로 986,1992-01-30,화학제품 생산기 조작원,"Odit provident voluptatibus expedita culpa ipsa ad. Quas vero maiores.
Debitis placeat odio optio.",False
114,114,전라북도 논산시 석촌호수로 108-20 (준혁최고면),1979-01-21,애완동물 미용사,Eos ut vero fugiat officia. Dignissimos a ad nihil corporis. Reiciendis illo tempora corporis.,False
115,115,충청북도 군포시 오금가 235 (선영서읍),1965-07-10,변호사,Voluptate esse quaerat rem consectetur harum. Doloremque aliquid consequatur optio eos.,False
116,116,전라남도 음성군 논현로 773 (준혁이남동),1986-05-15,미장공,Exercitationem minima doloremque. Numquam perspiciatis sit.,False
117,117,울산광역시 북구 봉은사353길 551-50,1946-12-21,재봉사,Quos harum maxime enim. Nulla nulla delectus fugit.,True
118,118,경기도 부천시 원미구 가락거리 905-53,1968-07-26,직조기 및 편직기 조작원,Et maiores rem fugit eligendi quia. Excepturi ratione ipsam rerum nostrum sint temporibus.,False
119,119,세종특별자치시 성동구 양재천가 588-12,1959-06-14,상품기획 전문가,Unde veniam ut minus voluptatibus perspiciatis enim.,True
120,120,충청남도 홍천군 선릉길 973,1979-02-17,건축 목공,Nemo quas aperiam reiciendis quis et. Iste esse veritatis vitae ullam totam labore.,False
