contact_id,group_id,name,phone,email,birthday,is_favorite
70,10,박영길,018-851-0449,ieungyeong@example.org,1959-10-15,False
71,8,장정웅,033-114-3220,jeongsugbag@example.com,2002-04-11,False
72,2,박민석,016-176-9816,geonugang@example.com,1947-02-20,False
73,4,김순자,017-303-1240,jujihyeon@example.org,1991-01-29,True
74,9,조서현,063-967-8043,ogjai@example.org,1944-08-19,False
75,3,류승현,018-611-7822,ryuhyeonju@example.net,2001-12-02,False
76,4,김서준,018-465-9089,misug25@example.org,1977-12-24,False
77,2,김준서,061-869-3595,yeongja21@example.net,1995-06-10,True
78,7,이재호,062-269-1150,gi@example.org,1998-04-19,True
79,5,안은서,042-122-2447,yeongil77@example.net,1960-12-18,False
80,3,박정숙,053-061-4797,jihu84@example.net,1951-04-12,False
81,5,송지아,019-431-3758,yeongsu32@example.com,1990-03-05,False
82,2,류경숙,011-996-8681,byeongceoli@example.com,2004-01-27,False
83,10,이병철,02-9701-3478,obag@example.org,1949-10-15,True
84,5,김광수,062-710-6388,hyeonjun14@example.org,1954-11-21,True
85,7,김지아,051-208-5049,yeji17@example.net,1994-01-12,False
86,4,박윤서,016-261-1593,qi@example.com,1945-01-15,False
87,3,이영수,019-344-9164,gimeunji@example.com,1953-03-27,False
88,4,양서연,018-745-7820,fi@example.org,1989-09-17,True
89,10,백지영,032-346-9063,mbag@example.com,2001-05-11,False
90,2,김서준,061-321-3459,yeongmi88@example.net,2001-03-08,False
91,9,최도현,019-122-0362,jaehyeongim@example.com,1961-07-17,False
92,8,이성훈,055-088-3228,junhyeog91@example.org,1986-03-09,False
93,7,김지은,044-797-5218,jbag@example.net,1953-10-25,False
94,3,이미경,044-377-5788,minji26@example.org,1953-10-04,False
95,4,박영길,031-042-4785,fjin@example.net,2006-10-03,False
96,9,김진호,062-561-3864,sujin64@example.com,1973-07-09,False
97,9,김영식,02-9285-3282,subin79@example.org,1972-10-28,False
98,8,김민수,011-471-4992,sanghyeoni@example.net,1961-07-31,True
99,1,김서현,063-897-0737,junhoyun@example.com,1967-07-05,False
100,7,김현준,063-162-6384,seoyeongi@example.net,2008-05-06,False
101,6,김정희,018-338-2644,hyeonjun90@example.com,2008-05-08,False
102,4,남미정,031-199-1033,sanghyeon20@example.org,1967-12-19,False
103,10,하은영,051-738-8585,donghyeon95@example.net,2006-07-12,True
104,7,서민석,052-574-2256,seoyeong63@example.org,1965-10-14,False
105,4,엄정웅,054-551-4591,xbag@example.com,1945-09-12,False
106,8,안순자,02-7198-6384,ogim@example.net,1957-12-13,False
107,8,노영철,032-822-6182,seongmingim@example.org,1981-06-07,False
108,9,한지후,033-935-6165,iyejun@example.net,1981-06-28,True
109,1,김정숙,02-0745-7661,junho32@example.net,1947-05-22,False
110,2,고혜진,061-685-0106,hyejin36@example.org,1954-11-06,False
111,8,최시우,070-9669-5711,kbag@example.org,1988-03-14,False
112,8,김정순,033-439-6033,kson@example.com,1977-03-14,True
113,2,김예진,033-893-4401,yeongceolgim@example.org,1957-02-20,True
114,7,박영숙,02-9188-0689,misugyang@example.net,1947-08-12,False
115,2,곽미영,041-127-5795,tgim@example.net,1982-03-16,False
116,2,곽옥순,063-501-2303,ji@example.com,1957-12-06,False
117,1,황미영,043-860-7359,minjaei@example.org,1978-11-06,False
118,2,한미정,011-876-0851,subin42@example.org,1998-05-28,False
119,8,양서현,070-0789-5804,seojunbae@example.org,2008-03-20,True
120,10,이성진,032-859-4061,pbag@example.com,1988-12-30,False
