session_id,counselor,customer_name,end_time,satisfaction_score,resolved
78,43,이영자,2025-05-15 22:36:50.251498,2,True
79,44,송정호,2025-05-26 13:09:33.522608,4,True
80,49,조윤서,2025-05-10 19:10:21.442250,3,True
81,42,장정웅,2025-05-03 00:52:12.509762,2,True
82,9,송지민,2025-05-30 08:01:45.295444,2,True
83,47,서영미,2025-05-29 21:09:46.530951,1,True
84,45,심정식,2025-05-18 15:44:03.513297,3,True
85,34,이미영,2025-05-15 07:07:53.306289,4,True
86,22,남영일,2025-05-06 19:06:18.344516,3,True
87,38,박아름,2025-05-15 12:43:42.690382,2,True
88,19,주서현,2025-05-09 02:13:39.307862,3,True
89,38,오옥순,2025-05-21 13:26:49.986107,5,True
90,27,이준서,2025-06-01 17:08:17.953823,3,True
91,46,문중수,2025-05-18 14:00:22.888409,4,False
92,20,이하윤,2025-05-05 11:46:55.579637,5,True
93,31,한영길,2025-05-19 12:51:29.912977,2,True
94,4,문명자,2025-05-04 13:27:59.876902,3,True
95,33,윤영일,2025-05-12 00:59:28.854788,5,True
96,11,이상호,2025-05-22 06:43:23.973747,5,True
97,11,박영수,2025-05-19 20:26:59.739713,1,True
98,33,최선영,2025-05-10 05:31:45.511790,2,True
99,37,박지현,2025-05-31 15:04:30.522278,3,True
100,12,김성진,2025-05-10 21:51:38.889077,3,True
101,7,심서윤,2025-05-04 10:46:16.927939,5,False
102,7,서정웅,2025-05-16 09:57:53.411828,3,True
103,29,김지민,2025-05-30 11:17:07.176891,5,False
104,44,김정수,2025-05-21 07:02:47.416544,5,True
105,22,김은서,2025-05-15 20:48:34.062313,4,True
106,4,양영숙,2025-05-23 00:31:34.879990,5,True
107,19,황준영,2025-05-10 07:55:37.355940,2,True
108,20,이재호,2025-05-09 03:32:46.251498,5,True
109,7,유경자,2025-05-24 14:54:46.627282,1,True
110,18,이재호,2025-05-10 18:26:07.811044,4,True
111,39,이진호,2025-05-31 16:58:40.002247,3,True
112,10,남숙자,2025-05-15 08:55:49.059722,3,True
113,49,권민지,2025-05-17 22:29:41.117561,3,True
114,33,이옥자,2025-05-24 08:22:36.843202,1,True
115,30,김민지,2025-05-07 06:55:21.694371,5,True
116,17,박지연,2025-05-03 02:36:16.697183,3,True
117,17,성경숙,2025-05-29 22:31:51.443381,1,True
118,43,조서준,2025-05-24 22:34:36.147263,3,True
119,26,김은주,2025-05-20 10:17:57.924769,1,True
120,26,박주원,2025-05-24 13:47:43.741126,4,True
121,11,김재호,2025-06-02 00:40:12.750820,2,True
122,31,류현지,2025-05-20 06:12:38.997351,1,True
123,35,임경숙,2025-05-18 05:31:33.904872,1,True
124,28,김지후,2025-05-30 08:25:50.245416,1,True
125,39,김혜진,2025-05-26 21:41:03.936728,4,False
126,41,박경숙,2025-05-19 00:31:17.625880,3,False
127,34,이병철,2025-05-28 17:33:36.613627,1,True
128,9,한춘자,2025-05-25 04:58:54.656624,2,True
129,9,김지훈,2025-05-14 13:42:36.155239,5,True
130,4,김은서,2025-05-06 21:01:44.659785,2,False
131,42,배상훈,2025-05-03 20:28:59.197302,4,True
132,34,장병철,2025-05-26 15:39:21.836678,1,True
133,49,이정웅,2025-05-19 18:12:01.864414,3,True
134,1,정준영,2025-05-06 09:33:30.186994,5,True
135,12,이은영,2025-05-17 11:24:23.848242,3,False
136,8,박종수,2025-05-17 03:21:59.501282,1,True
137,10,황지영,2025-05-19 16:06:25.393218,1,True
138,36,김지원,2025-05-17 10:38:04.432344,3,True
139,3,고동현,2025-05-09 22:44:53.085440,1,True
140,50,심미경,2025-05-08 23:08:07.254572,3,True
141,25,최하은,2025-05-21 15:35:28.462041,4,True
142,18,손채원,2025-05-07 18:37:37.126268,1,True
143,44,이성훈,2025-05-25 01:49:17.809291,5,True
144,11,박정웅,2025-05-20 23:06:39.498557,5,True
145,36,이현숙,2025-05-13 05:22:35.644293,3,True
146,41,진지아,2025-05-28 20:51:55.398875,2,False
147,9,류예지,2025-05-05 09:35:24.494042,3,True
148,15,오아름,2025-05-23 07:17:03.669525,2,True
149,19,오서현,2025-05-28 22:43:27.915638,3,True
150,26,권은주,2025-05-04 14:22:42.780885,5,True
151,15,조현정,2025-05-31 08:19:03.229317,4,True
152,45,손정남,2025-05-21 16:48:07.640477,1,True
153,31,이영수,2025-05-17 07:45:41.027300,4,True
154,45,전영자,2025-05-23 01:23:05.589077,4,False
155,10,김미정,2025-05-05 08:24:30.884779,1,False
156,29,송경수,2025-05-28 11:05:01.861378,5,True
157,38,이정순,2025-05-18 17:59:07.166393,4,True
158,28,이예은,2025-05-19 01:45:10.145302,2,True
159,28,이윤서,2025-05-15 22:39:28.247709,5,True
160,28,박상호,2025-06-01 00:59:39.298742,5,True
161,39,진정남,2025-05-13 01:12:49.345808,1,True
162,24,서지후,2025-05-24 17:45:16.162155,4,True
163,24,하은서,2025-05-27 23:48:01.522574,1,True
164,9,이병철,2025-05-08 04:14:57.936650,5,True
165,2,이하은,2025-05-21 11:07:35.041002,5,True
166,28,김영환,2025-05-11 05:33:29.298038,2,True
167,17,이상철,2025-05-03 06:11:11.873258,1,True
168,32,손진호,2025-05-11 02:56:33.471395,4,True
169,23,심준혁,2025-05-08 15:52:16.587301,3,True
170,49,이영숙,2025-05-22 09:09:42.568710,5,True
171,16,고경자,2025-05-24 06:00:47.777231,5,True
172,20,이진호,2025-05-29 20:14:46.023793,1,True
173,15,손지우,2025-05-22 06:10:17.439475,3,True
174,9,최우진,2025-05-05 14:01:08.907883,3,True
175,22,권경숙,2025-05-05 23:04:21.631410,4,True
176,8,김정희,2025-06-02 07:56:36.253108,5,False
177,36,류지현,2025-05-26 18:39:05.728222,1,True
178,26,류숙자,2025-05-19 04:02:39.357555,3,False
179,23,김병철,2025-05-25 18:33:03.758557,4,True
180,8,한준호,2025-05-03 22:28:14.284038,3,True
181,42,장지후,2025-05-25 06:46:16.682294,3,True
182,42,최경수,2025-05-14 20:32:44.025296,3,True
183,13,백수빈,2025-05-25 17:29:03.379991,3,True
184,2,박영순,2025-05-16 09:17:28.085935,1,True
185,11,임명숙,2025-06-01 10:14:08.076460,4,True
186,4,배지아,2025-05-28 14:11:22.006188,3,True
187,18,박민재,2025-05-17 22:26:37.927753,3,True
188,5,안영희,2025-05-26 00:48:30.592027,2,False
189,11,이영자,2025-05-09 11:58:06.686496,1,True
190,39,김광수,2025-05-05 19:11:08.503694,5,True
191,29,이서현,2025-06-01 20:20:41.384013,5,True
192,23,주성진,2025-05-05 05:00:06.968373,3,False
193,38,송재현,2025-05-06 20:47:43.691180,3,True
194,5,김현주,2025-05-22 23:58:12.360021,3,False
195,37,박영자,2025-05-12 13:44:12.752467,5,True
196,37,김지훈,2025-05-11 09:01:46.729499,2,True
197,15,이민지,2025-05-14 00:02:47.164728,1,True
198,3,이서현,2025-05-03 17:18:11.680631,3,True
199,38,김지연,2025-05-21 10:46:14.715685,1,True
200,28,김정호,2025-05-08 01:00:54.661081,2,True
