question_id,title,content,asker_name,asker_email,category,difficulty,likes,is_resolved,created_at
11,Quidem deserunt omnis blanditiis et.?,"Eaque ipsa qui et facere. A eligendi quo odit voluptatem odio molestiae. Quam veniam alias voluptatum nisi.
Beatae maxime itaque dolore repellendus facilis harum. Incidunt quibusdam officiis dolore occaecati doloribus laborum.
Eligendi nostrum cum. Itaque in velit.
Magnam delectus aut aut voluptatem harum iste.
Facere natus esse odio aliquam. Cum eos animi optio sint consectetur neque magnam.",박영길,sinjaehyeon@example.net,학습,초급,51,True,2024-12-31 18:28:19.818466
12,Voluptate necessitatibus aliquid et mollitia voluptate animi.?,"Cumque doloribus sapiente deserunt nam commodi nemo. Explicabo ullam labore et eligendi nisi.
Cupiditate facilis provident maxime. Reprehenderit explicabo tempore totam cupiditate. Veniam dolorem esse consectetur fugit aliquid.
Aliquam similique quo quo sequi sequi veritatis. Alias voluptas quis accusantium maxime. Qui quasi repudiandae reprehenderit expedita.
Facilis esse magnam vel quae molestias. Quod id quae ratione perferendis temporibus. Nostrum aperiam animi omnis.",김하은,sonogsun@example.com,건강,중급,32,False,2024-12-31 23:42:27.887216
13,Quas ea qui ipsam atque.?,"Explicabo quod eligendi tenetur quos quia repellendus. In dolorum inventore molestiae. Et quibusdam nulla cum.
Explicabo doloremque non. Tenetur distinctio sint. Distinctio hic nam exercitationem sit est nobis.
Delectus voluptas repellat incidunt. Quae modi suscipit ducimus nam fugiat.
At harum minima. Exercitationem voluptatibus accusantium et nesciunt. Iusto in iure ut qui fugit error.
Suscipit ut sint corporis at iure. Dolor voluptas temporibus voluptatem praesentium cupiditate nesciunt.",이준영,jeongsui@example.net,학습,중급,36,False,2024-12-31 01:41:04.959626
14,Possimus voluptatem harum quasi recusandae ratione natus aliquid suscipit.?,"Veniam minus officiis quae ad doloremque. Inventore delectus maiores blanditiis minus ad. Libero numquam ad minima veritatis dolorem.
Ex corrupti consectetur praesentium aliquam aut dolorum consectetur. Quas necessitatibus quod voluptas. Occaecati eius ducimus temporibus reprehenderit nobis iure deserunt.
Impedit aliquam tenetur sit necessitatibus. Nobis aut nemo veritatis blanditiis rerum. Rerum quaerat voluptas facere odit fuga aliquam. Accusamus hic perferendis fugit explicabo labore.",황은서,bheo@example.org,취업,고급,88,False,2025-03-11 20:45:26.655053
15,Aspernatur itaque repellendus labore vitae occaecati accusantium odit ducimus.?,"Quis esse vitae asperiores consectetur earum porro dolor. Ducimus cum nostrum eaque labore. Sunt facere quos officia molestias adipisci.
Voluptates debitis natus nesciunt praesentium. Voluptatibus voluptas blanditiis tempore provident. In asperiores vero repudiandae minus.
Tempore recusandae ea ex ipsum. In placeat culpa nulla deleniti ipsum. Quo doloribus eveniet similique exercitationem. Asperiores quo consequatur modi facere non laboriosam.",김영철,kgweon@example.org,건강,중급,68,False,2025-02-02 23:24:16.442620
16,Unde cum veritatis exercitationem accusamus explicabo cum.?,"Similique unde vel doloribus error.
Expedita nostrum inventore fugit earum. Provident ipsa ratione aut rem.
Illo adipisci tenetur commodi debitis natus. Ipsum eligendi soluta quibusdam sapiente voluptas. Aperiam delectus aliquam dolor.
Esse quasi cupiditate commodi aliquam illum. Ullam fugit sapiente vitae perferendis voluptate beatae.
Quasi culpa qui hic neque. Amet nisi aliquid architecto accusamus commodi cupiditate.
Aliquid soluta quo officia. Quas dicta accusantium aliquid aliquid quas.",김하윤,ugim@example.net,학습,중급,58,True,2024-11-13 02:53:17.720960
17,Voluptatibus tempora deleniti eveniet.?,"Nulla nostrum voluptatem iure alias iusto tenetur.
A molestiae officiis ipsum facilis aspernatur. Dignissimos officia dolor iste dolorum numquam.
Iure exercitationem fuga animi. Sunt facere atque nisi harum ea. Magni esse voluptate necessitatibus illo incidunt.
Alias ipsa labore minus enim commodi. Rem consequatur dolorum quod consequuntur suscipit ab voluptates. Accusamus sed fuga praesentium inventore iste delectus.",장은경,jeongsu87@example.net,학습,고급,67,False,2024-11-21 06:52:44.163456
18,Esse repudiandae aspernatur vel ab.?,"Possimus dolor culpa. Impedit architecto doloremque reiciendis magni nemo nam. Doloremque accusamus temporibus beatae quas explicabo. Assumenda aut ullam repudiandae.
Ea tenetur velit ad nihil doloremque. Non aperiam eum. Exercitationem sit rem expedita cumque.
Nam accusantium maiores possimus laborum eaque. Inventore earum occaecati blanditiis commodi magnam.
Assumenda voluptas aspernatur totam cum. Quisquam perferendis delectus dolore laboriosam quod.",류미경,gimsunja@example.net,기술,중급,42,False,2024-11-08 23:49:00.332406
19,Ad provident repellat vel nihil ipsam debitis eos.?,"Atque nisi eius explicabo. Officia quibusdam tempora voluptatem aliquam voluptas. Tenetur laudantium ab sunt a. Debitis modi facere adipisci.
Eligendi maxime facilis sint dolore eos necessitatibus. Saepe atque aspernatur qui itaque nesciunt.
Veritatis quaerat corrupti amet. Temporibus eligendi atque voluptate nulla culpa corporis. Amet distinctio a accusamus doloremque doloribus deserunt.",이성진,mgim@example.com,건강,초급,34,False,2024-10-06 05:35:44.928484
20,Unde illo iste in repellat esse dolore cupiditate fugiat cum dolores.?,"Quo at quas nemo. Aut animi error voluptate aspernatur ipsum. Dolorem alias consequuntur sint vero non modi.
Explicabo unde alias nam dolore voluptas alias minus. Ex natus possimus animi dicta quisquam incidunt.
Architecto laboriosam molestias fugit ipsa.
Incidunt consequatur occaecati aliquam tempore debitis quos. Deleniti officia repudiandae illo.",서성훈,sangho45@example.org,생활,고급,54,True,2024-07-13 16:41:29.268000
21,Sequi repellat laborum eaque nihil.?,"Doloremque rerum iusto officiis. Laborum optio quibusdam expedita. Quis minus possimus neque dolores voluptatum quaerat.
Vero dolor veritatis accusantium culpa. Velit ducimus necessitatibus neque. Doloremque rerum optio.
Magni laudantium officia itaque. Reprehenderit praesentium minima dolores.
Distinctio exercitationem nesciunt maiores. Eum dignissimos hic sequi. Similique doloremque eligendi esse aspernatur.
Sint fuga ullam qui voluptates. Eius temporibus culpa.",김우진,bageunju@example.net,기타,고급,89,True,2025-05-26 00:43:24.693242
22,Doloribus minus tempora iusto eveniet.?,"Commodi consectetur alias tempore quaerat.
Hic sit unde. Reprehenderit accusamus ipsa repellendus doloribus ad molestiae. Eum facere enim et iusto alias.
Harum harum quas veniam quos sed. Aliquam repellat veritatis sapiente quis. Odio veritatis dolorem earum nemo ipsum aut.
Id nesciunt ipsam. Ab assumenda sint eveniet.
Repellendus incidunt nostrum. Quis ipsa voluptate est. Laboriosam occaecati repudiandae minima.
Sed veniam veritatis dolor labore.",이현정,yeonghyison@example.net,기타,초급,7,True,2025-05-25 18:16:22.311186
23,Eum libero blanditiis vel qui.?,"Aut accusantium repudiandae ab corporis illum consectetur ad. Adipisci esse molestias accusantium quidem repellendus.
Sequi illo blanditiis quas quasi. Excepturi facilis molestias perspiciatis vero culpa.
Natus quasi deserunt. Repellendus cupiditate architecto sequi adipisci. Facilis minima totam nobis.
Fugit voluptatum aspernatur nihil. Iusto harum id iusto dolor ratione.
Illum iusto earum voluptatum optio. Deserunt quasi itaque voluptatum commodi ipsa. Dolor corporis ullam facere.",김채원,bcoe@example.com,학습,중급,18,False,2025-02-12 07:06:40.294978
24,Recusandae harum rerum magni quos quo id.?,"Numquam inventore ut rerum possimus nihil quos. Ducimus quo quaerat eligendi. Provident fugiat dolorem dignissimos itaque nam vel.
Ad pariatur nihil quo odio incidunt. Adipisci debitis sapiente voluptatibus cum magnam culpa. Totam perferendis commodi incidunt rerum.
Atque consequatur magnam blanditiis aliquid iusto quo. Eligendi ullam molestiae at tempore omnis saepe.
Illo maxime quia fugit. Eius laboriosam incidunt asperiores fugit voluptates. Veritatis reprehenderit vel quod est ea sunt.",김현숙,seonghun14@example.net,학습,초급,79,True,2024-12-15 05:03:16.388165
25,Suscipit molestiae doloribus ducimus nostrum quae voluptas ratione minus.?,"Laborum et nam dignissimos facilis nulla laboriosam. At nesciunt at neque animi temporibus. Incidunt est eum animi minima quo.
Voluptatibus illo fugiat quasi dignissimos maiores dicta maiores. Atque dolor cum.
Aspernatur deserunt optio enim aliquam perferendis molestias est. Animi nostrum animi.
Laborum libero laborum commodi. Repellat doloremque repellat libero. Esse accusamus ab.",이성훈,jeonghogim@example.net,취업,초급,39,True,2025-01-02 03:50:06.253957
26,Assumenda facere et mollitia mollitia hic nostrum sed repudiandae.?,"Maiores perspiciatis nam magnam atque earum soluta non. Nulla amet repellat reprehenderit molestias rem sequi. Odio aperiam temporibus omnis autem.
Nemo maxime eos pariatur debitis atque. Corrupti sed sunt quo ad alias ratione.
Ipsa nemo aliquam ducimus vel ducimus.
Fugiat nam beatae dignissimos enim. Quisquam nihil assumenda officia repudiandae rem dolor.
Ullam natus nihil officiis deleniti cupiditate rerum. Dolorum nobis voluptatum repellendus libero vitae.",오준혁,jinu35@example.com,학습,중급,17,True,2024-07-09 02:34:05.598589
27,Nisi excepturi rerum vero dolore.?,"Voluptatibus in delectus ad libero. Omnis laudantium voluptatum atque. Laborum fugiat neque laudantium eos. Ipsam tempora alias voluptate accusantium hic perferendis consectetur.
Ea deserunt ex. Et veniam officia.
Quae repudiandae quis iusto at voluptas. Accusamus iusto est dolor culpa provident modi. Quod perspiciatis placeat similique.
Facilis ut odio assumenda velit ex. Minima tempora dignissimos reprehenderit ducimus voluptates.",김미숙,osunog@example.com,생활,초급,55,True,2024-12-31 12:05:01.511839
28,Ducimus cumque dolore iusto quae.?,"Velit dolorum alias aliquam vero rerum. Velit doloribus optio. Aliquid rerum debitis quae doloremque aut. At illo iure.
Atque corrupti molestias fuga. Error doloremque quos natus earum.
Maxime ut totam beatae aspernatur occaecati. Quibusdam cumque soluta veniam. Ut dignissimos quam nam quibusdam.
Atque repellendus impedit corrupti assumenda. Cumque magnam error illo libero quo molestias.",한재현,jangmyeongja@example.org,건강,초급,53,False,2024-09-26 15:08:42.738208
29,Debitis dolorem repellat praesentium adipisci quia facilis itaque unde.?,"Officia consectetur expedita. Quod cum laboriosam eaque suscipit.
Molestiae qui debitis ea aliquam eum. Sunt minus impedit dignissimos temporibus. Illo doloremque magni debitis laborum.
Reiciendis magni eos tempora perspiciatis in distinctio. Voluptate quaerat dolores ipsum sequi.
Debitis modi ab maxime deserunt nulla beatae. Inventore odit consectetur enim dolorum animi maiores saepe. Aut velit corporis recusandae voluptatem doloribus voluptatum.",박명숙,wgang@example.com,학습,중급,13,False,2025-04-22 12:20:16.485783
30,Illo vel voluptates vitae consequatur dolore.?,"Cum commodi fugit dicta. Porro sed fuga quibusdam quam dolore incidunt. Quis nostrum ea expedita veniam.
Dignissimos in magnam iure consequuntur. Ipsum eos doloribus doloremque fugiat minima odio. Quos dignissimos tempore amet dicta odio libero.
Repellendus veniam voluptas quasi natus. Laborum quo ipsam quia deserunt. Esse voluptatibus iusto magni.
Cumque at ducimus ut est architecto error. Ratione cumque facilis consequuntur amet dolorem veritatis. Dicta quis dicta aliquam.",최지연,jiu23@example.org,취업,고급,93,True,2024-10-17 10:29:17.320512
31,Magnam dolorem hic deserunt est consequatur fuga.?,"Commodi ipsam voluptates delectus. Quam omnis culpa mollitia nemo ipsum. Minus aliquam iure culpa.
Nam recusandae modi minima recusandae. Voluptas impedit quam.
Dicta odit perferendis fugiat. Maiores iste provident enim aspernatur nam nihil.
Deserunt nisi tenetur sunt quis iste.
Sit error doloribus libero deserunt ipsa. Ullam architecto cum reprehenderit laboriosam corrupti.",이정웅,seoyeon34@example.org,기술,초급,66,True,2025-03-22 13:16:47.867708
32,Deleniti perferendis atque natus ad repudiandae illo maxime consequuntur nostrum neque.?,"Voluptate maxime reiciendis dolores error amet. Reiciendis aperiam ad saepe consequatur sunt accusantium.
Optio asperiores quas voluptate. Ratione architecto omnis culpa. Culpa repudiandae modi eum accusantium veniam.
Dolor perferendis nulla vero quidem cumque nam. Rerum autem sunt dicta deserunt odio tempora.
Consequuntur temporibus quis eaque. Enim magnam accusantium.",김정수,hyeonji88@example.com,기타,중급,47,True,2024-10-27 19:26:54.216301
33,Similique fugit illum officiis non vel.?,"Dignissimos suscipit voluptas qui maiores unde est. Repellat veniam accusantium.
Saepe quaerat dolorum modi ex qui ab. Eligendi vitae cupiditate quasi temporibus. Odio libero quasi minus dolore commodi corrupti cum.
Nostrum voluptatum minima tenetur nihil. Iste sed vitae rem. Vel eum nihil maxime.
Itaque pariatur quasi ullam assumenda molestias unde odit. Nesciunt illum maiores doloribus dolore non.",송지현,gyeonghyi36@example.org,기타,고급,3,False,2024-10-12 02:05:15.155577
34,Non fugiat voluptatem dolores exercitationem omnis dolore aperiam quaerat modi.?,"Enim minus esse nihil quo. Alias laboriosam corporis praesentium reiciendis.
Consectetur est consectetur expedita facere cupiditate dolore nostrum. Debitis exercitationem dolore blanditiis iure vel sit ab.
Voluptatum culpa voluptatibus libero consequatur. Facilis magni quaerat provident repellat. Iste ut eos totam magnam non commodi.",송수빈,bagjeonghun@example.net,학습,중급,52,False,2025-05-27 22:18:35.596961
35,Voluptatem totam incidunt fugit fugit expedita.?,"Ea exercitationem doloremque enim. Doloribus repudiandae praesentium.
Facere nulla mollitia sequi neque illo. Quod et dicta possimus officiis reiciendis dolore accusantium.
Rerum laudantium accusamus debitis tenetur sed voluptas quis. Suscipit sed sint tempora ratione cum cupiditate facere.
Nam dolore aut laboriosam inventore sed aspernatur. Laborum dicta placeat vero perspiciatis debitis optio. Blanditiis praesentium voluptatum beatae.",권예준,gimyeongsun@example.org,취업,고급,32,True,2024-09-02 10:44:48.774998
36,Ducimus ipsam est corporis nam magnam facere est.?,"Minus fugiat nulla molestiae laudantium provident sunt. Velit cupiditate ex explicabo.
Eaque aspernatur earum voluptas. Nihil magni quia praesentium. Asperiores odio veritatis culpa pariatur quas sit. Modi sequi optio totam.
Quam quis excepturi harum eveniet cumque fugit iusto. Harum dolor a dolores cum. Placeat cum esse optio ipsum qui consequatur.
Impedit adipisci officiis aliquid distinctio dolor. Dolorem dolore illum ducimus.",박성민,ii@example.net,기타,고급,84,True,2025-04-26 12:40:06.065037
37,Quis voluptatibus consequatur officiis reprehenderit nostrum dolore expedita laudantium.?,"Non et reiciendis cupiditate possimus consequatur vitae. Deserunt nulla quod placeat. Vero illum saepe veniam laboriosam doloremque.
Quis blanditiis officiis consequuntur. Earum cupiditate doloribus fugit id a. Similique illum expedita nam.
Minus veniam facilis eius mollitia nesciunt dolorum. Vitae possimus doloremque a. Dicta reiciendis animi.
Quam quo dignissimos error ullam nisi. Alias iste quidem ipsum. Sit exercitationem minima.",김정자,gojihyeon@example.org,생활,중급,39,True,2024-11-30 17:25:05.478766
38,Harum laboriosam iure eum magnam aperiam placeat praesentium.?,"Commodi quo dicta voluptates perferendis. Placeat temporibus porro pariatur voluptates voluptates et.
Doloremque quae porro iure eveniet. Atque et debitis earum sint. In occaecati unde blanditiis saepe ad inventore. Libero sapiente quis quia quidem ipsum quae nulla.
Quae blanditiis qui voluptate. Debitis qui voluptatem facere ipsa impedit repellat. Voluptate reiciendis non asperiores.
Quidem voluptas voluptate aspernatur. Reprehenderit veritatis odit eum totam eos.",권혜진,byu@example.com,학습,중급,25,True,2025-01-18 12:29:45.949162
39,Animi molestiae nesciunt modi consequuntur voluptatem.?,"Repellendus voluptates cum similique repudiandae a rerum. Culpa repellendus ducimus atque esse corporis qui nesciunt.
Debitis error alias perferendis quasi odio magni veniam. Asperiores soluta quibusdam error illum debitis.
Dicta a vel consequuntur unde. Nulla fuga adipisci ullam cupiditate porro aliquid.
Quaerat debitis officiis. Repellendus itaque quidem nulla corrupti tempora placeat. Eveniet perspiciatis cupiditate dicta accusantium.
Libero impedit impedit accusamus repellat quam eius.",윤준호,minjaejang@example.com,기술,초급,61,True,2024-07-03 04:30:21.453973
40,Porro facilis voluptate voluptates in ut placeat quas.?,"Expedita quae numquam impedit placeat minima. Voluptate quisquam illum eligendi eaque. Voluptatibus reprehenderit exercitationem consequuntur suscipit sint facere.
Inventore inventore voluptate sint nulla assumenda enim est. Odio modi consequuntur omnis voluptate unde.
Atque est saepe suscipit iure inventore maxime alias. Nisi architecto omnis blanditiis culpa fugiat eius.
Excepturi sed molestias quibusdam. Distinctio occaecati ducimus modi. Culpa qui quas necessitatibus.",임경수,sanghuni@example.net,기술,초급,13,True,2024-11-26 22:26:42.881003
41,Ratione ipsam enim numquam minima.?,"Odit nostrum velit occaecati officiis inventore. Harum ea nemo fugit ratione officiis iste. Porro provident quaerat aliquam dolorum odio. Porro voluptates rem ad cumque.
Exercitationem suscipit officia non sapiente repellendus vitae distinctio.
Iure assumenda temporibus amet consectetur. Ipsum fuga unde voluptas blanditiis. Tenetur autem rem impedit placeat.
Possimus nam dolorum eveniet aspernatur quasi. Odit amet laudantium reprehenderit quo modi.",김순옥,sanghun79@example.net,학습,중급,61,True,2024-12-28 23:36:59.943310
42,Ad sed consequatur quibusdam rem voluptas repellendus.?,"Magnam dicta id expedita. Quae molestiae modi sint animi itaque. Repudiandae nesciunt harum.
Temporibus aliquam totam ullam. Perspiciatis facilis inventore nihil. Corporis voluptas commodi natus delectus.
Ad atque corporis reiciendis dolorem officiis.
Hic ipsam earum reiciendis beatae. Doloribus odit incidunt voluptatem.
Fugiat rem optio error cum blanditiis. Provident reprehenderit tempora quas consequatur ipsa.",김준혁,seoyeongha@example.org,기타,중급,50,True,2024-08-16 11:59:15.671918
43,Quaerat adipisci numquam minima similique ut culpa minus repellat cumque.?,"Sunt sint minus illum numquam. Vitae et cumque temporibus. Necessitatibus eius architecto cumque hic consequuntur nulla veniam.
Accusantium natus nam earum. Alias deserunt quaerat non voluptatibus.
Deserunt totam aut sapiente reiciendis. Eius ratione unde impedit exercitationem porro. Voluptatum nam optio rem id numquam rerum omnis.
Voluptates voluptatum minima laboriosam natus dolorum culpa. Ut est at fugit.",박영희,seonghomin@example.net,건강,고급,90,True,2024-06-25 05:06:53.628446
44,Id nostrum provident modi earum itaque laudantium.?,"Quam explicabo eaque sunt nemo. Id laudantium fuga. In quisquam laboriosam adipisci.
Explicabo modi maiores assumenda cum libero.
Ea nihil cumque enim iure vero perspiciatis nemo. Quos fuga in vero id.
Nihil veritatis at commodi nostrum occaecati culpa recusandae. Laborum placeat laboriosam odio maiores. Veniam ex nisi porro.
Et tempore quidem numquam molestias sapiente qui.",김현주,misug26@example.net,학습,초급,25,False,2024-10-13 13:30:41.329676
45,Aut maiores laboriosam pariatur a.?,"At commodi repellat architecto temporibus eveniet. Praesentium quae porro dolorem quidem. Quia maxime atque eos consequuntur quos.
Vero voluptatem molestias architecto eaque sit sint. Corporis accusantium rem. Earum sit distinctio dolorem fugit.
Atque recusandae non non sunt deleniti modi porro. Ratione deleniti molestias rem ullam est inventore. Commodi expedita illo animi minima voluptas laboriosam.",이현지,yunseoyeon@example.net,취업,중급,59,False,2025-01-17 17:26:37.922990
46,Laborum deleniti laudantium nulla voluptate.?,"Blanditiis beatae voluptates dolorem. Modi sint eaque.
Ducimus vel corrupti vitae quia praesentium officiis. Possimus recusandae aliquam. Corrupti consequuntur eius laboriosam.
Veritatis error facilis. Aspernatur suscipit ratione neque ea sit quis molestiae. Deserunt odio esse corporis dicta officiis quo et.
Quas tenetur odit labore. Vel omnis deleniti. Quo voluptatibus ipsa exercitationem necessitatibus consequuntur tempora. Ex at maiores corrupti incidunt incidunt.",송상훈,jihunjeon@example.org,기술,중급,24,False,2025-04-22 00:27:46.748224
47,Voluptatum ratione nulla id repellendus tempore officiis harum.?,"Excepturi laboriosam natus fuga culpa totam dolorem. Sint natus quaerat iusto molestiae nam aliquid. Aperiam animi alias delectus quisquam occaecati beatae. Doloribus alias neque perspiciatis.
Nihil natus minima est voluptate odio perspiciatis. Optio esse beatae delectus. Nam magni totam rem perferendis modi magni.
Perferendis facilis odit modi. Quo adipisci voluptatum rerum id. Placeat blanditiis dolore non illum qui pariatur.",박예준,seunghyeon16@example.com,기타,초급,44,False,2024-10-18 06:49:58.729714
48,Cum placeat quam iste corrupti id sequi.?,"Atque dolorem voluptas. Nostrum harum id esse vitae aut velit. Suscipit tempore commodi totam aliquam nostrum atque.
Ratione ipsa quaerat voluptatibus accusamus. Tempora corrupti dolore deserunt fugiat. Eos iusto tempore.
Nemo reiciendis labore.
Tempore maiores quae ea minima molestiae. Sunt rerum molestiae. Reprehenderit soluta saepe dolorem.
Similique ullam magnam natus hic. Et iste iusto pariatur quo dolores.",안예준,anjihun@example.com,기타,고급,85,True,2025-03-01 16:24:43.785981
49,Alias veritatis rem suscipit.?,"Voluptatum magnam explicabo adipisci. Officia minus ipsa laudantium.
Delectus nisi eos magni. Magni magnam non a nisi natus.
Quo velit dolor ea distinctio. Necessitatibus alias nostrum delectus. A architecto rerum illum unde. A quisquam molestiae saepe numquam impedit a sed.
Qui laborum soluta. Tempore iure iste. Dolor neque reprehenderit nobis aut aut sequi.
Distinctio corrupti unde aperiam perspiciatis accusantium. Natus quas enim laudantium. A eius quo eius.",장성수,ssim@example.org,기타,초급,18,False,2025-05-17 00:02:00.963276
50,Esse sed nihil ipsam laudantium quasi iusto quam minus a nostrum.?,"Similique incidunt asperiores. Delectus cupiditate in expedita.
Sit rerum reprehenderit adipisci expedita laborum ab. Magni hic dolore enim vitae iste.
Cum magni id fugit sed magni doloribus laborum. Possimus error mollitia aliquid.
Quis autem magnam dolorem amet ratione totam ipsa. Animi reiciendis esse quos tempora magnam id. Consectetur tempore voluptates eum.
Temporibus at consequatur illo. Deleniti ratione reiciendis iste aspernatur repudiandae architecto fugit.",최영철,yeonghohan@example.net,학습,초급,7,False,2025-02-14 05:06:10.516942
51,Veniam recusandae dolor at sunt.?,"Quas aut suscipit occaecati. Dicta expedita harum nemo molestiae ex quo. Labore dolorem consequuntur dolor placeat.
Incidunt quia iure ex culpa porro. Totam quis voluptatibus animi labore nemo. Similique eligendi odit tempora.
Temporibus magni deserunt molestiae quo quas voluptas. Dignissimos iste fuga nisi dicta voluptatem. Beatae commodi accusamus ducimus consequuntur.
Repellat dolorem autem ipsam minima vitae hic saepe. Quisquam suscipit tempora.",이성호,iogsun@example.org,건강,고급,73,True,2024-12-16 13:43:36.815312
